Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1997-10-31,21-036,BOS,,CHI,W (+7),0,16:44,6,12,.500,1,4,.250,2,2,1.000,2,0,2,4,2,0,3,3,15,11.0,-9
2,2,1997-11-02,21-038,BOS,,ORL,L (-11),0,23:23,2,8,.250,0,2,.000,1,2,.500,1,2,3,4,0,0,0,1,5,3.5,-9
3,3,1997-11-04,21-040,BOS,@,NYK,L (-32),1,30:44,1,5,.200,1,2,.500,2,2,1.000,0,4,4,3,1,0,7,1,5,-1.2,-23
4,4,1997-11-05,21-041,BOS,,MIA,L (-16),1,10:29,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,-1.4,-9
5,5,1997-11-07,21-043,BOS,,CLE,L (-4),1,24:34,4,8,.500,1,4,.250,5,5,1.000,0,3,3,3,1,0,1,5,14,11.0,-1
6,6,1997-11-08,21-044,BOS,@,MIL,L (-9),1,22:02,4,6,.667,0,2,.000,2,5,.400,0,0,0,4,3,0,3,0,10,9.0,-5
7,7,1997-11-12,21-048,BOS,,DEN,W (+10),1,27:27,2,8,.250,0,4,.000,4,4,1.000,1,1,2,6,2,0,1,2,8,8.6,+7
8,8,1997-11-14,21-050,BOS,,TOR,W (+4),1,28:58,5,14,.357,3,6,.500,9,10,.900,1,1,2,3,4,0,2,4,22,17.3,-4
9,9,1997-11-15,21-051,BOS,@,PHI,W (+6),1,29:02,4,10,.400,2,3,.667,2,4,.500,1,1,2,9,3,0,1,2,12,14.3,+8
10,10,1997-11-18,21-054,BOS,@,TOR,W (+13),1,28:09,5,11,.455,0,3,.000,5,5,1.000,0,1,1,8,2,0,3,5,15,12.2,+5
11,11,1997-11-19,21-055,BOS,@,NJN,L (-8),1,19:18,2,10,.200,1,3,.333,0,0,,1,0,1,2,2,0,3,3,5,-1.3,-5
12,12,1997-11-21,21-057,BOS,,NJN,W (+8),1,18:19,2,7,.286,0,2,.000,2,2,1.000,0,0,0,3,1,0,2,4,6,1.4,-2
13,13,1997-11-23,21-059,BOS,,DET,W (+4),1,34:28,4,10,.400,2,7,.286,3,4,.750,0,4,4,6,0,0,4,2,13,7.8,+8
14,14,1997-11-26,21-062,BOS,,LAL,L (-15),1,20:43,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,4,1,3,-2.8,-8
15,15,1997-11-28,21-064,BOS,,PHO,L (-4),0,5:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,2,0,-3.5,-10
16,16,1997-11-29,21-065,BOS,@,CLE,L (-6),0,4:35,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-4
17,17,1997-12-03,21-069,BOS,,CHI,L (-10),0,14:13,3,8,.375,2,4,.500,1,1,1.000,1,0,1,3,1,0,1,0,9,7.4,-10
18,18,1997-12-05,21-071,BOS,@,MIA,L (-20),0,22:32,6,10,.600,3,4,.750,2,2,1.000,0,0,0,1,2,0,2,2,17,12.3,-5
19,19,1997-12-10,21-076,BOS,,MIL,W (+5),1,26:54,4,13,.308,3,5,.600,10,12,.833,3,1,4,1,3,0,2,2,21,16.0,+2
20,20,1997-12-12,21-078,BOS,,WAS,W (+9),1,22:56,5,7,.714,2,4,.500,3,4,.750,0,2,2,6,0,0,0,4,15,14.9,+17
21,21,1997-12-13,21-079,BOS,@,DET,L (-16),1,32:49,5,8,.625,2,5,.400,0,1,.000,1,1,2,6,0,0,2,1,12,10.8,0
22,22,1997-12-15,21-081,BOS,,PHI,W (+17),1,24:07,2,7,.286,1,2,.500,0,1,.000,1,2,3,6,1,0,1,1,5,5.6,+3
23,23,1997-12-17,21-083,BOS,@,TOR,W (+5),1,23:44,3,8,.375,2,4,.500,10,11,.909,1,1,2,4,1,0,6,1,18,11.6,+4
24,24,1997-12-21,21-087,BOS,,LAC,W (+22),0,21:50,5,9,.556,0,1,.000,1,1,1.000,0,2,2,5,2,0,1,6,11,9.4,-1
25,25,1997-12-23,21-089,BOS,,CHH,W (+6),1,22:15,3,7,.429,2,4,.500,5,6,.833,1,3,4,4,2,0,3,4,13,10.7,-6
26,26,1997-12-26,21-092,BOS,@,SAS,L (-15),1,25:46,4,8,.500,0,1,.000,2,2,1.000,0,2,2,3,2,0,1,2,10,8.9,-13
27,27,1997-12-28,21-094,BOS,@,LAL,W (+6),1,31:03,6,14,.429,3,5,.600,1,2,.500,0,3,3,8,5,0,6,1,16,13.3,-6
28,28,1997-12-30,21-096,BOS,@,PHO,L (-10),1,21:27,2,10,.200,0,2,.000,1,2,.500,1,2,3,2,0,0,0,2,5,0.3,-16
29,29,1998-01-02,21-099,BOS,,MIN,W (+4),1,28:29,5,12,.417,0,3,.000,0,0,,0,0,0,4,3,0,1,1,10,8.0,-5
30,30,1998-01-03,21-100,BOS,@,MIL,W (+7),1,26:37,2,4,.500,0,1,.000,9,10,.900,0,1,1,2,0,0,2,3,13,9.1,+10
31,31,1998-01-06,21-103,BOS,@,CHI,L (-11),1,35:13,2,8,.250,0,2,.000,2,2,1.000,2,2,4,5,0,0,4,2,6,1.9,-4
32,32,1998-01-07,21-104,BOS,@,WAS,L (-2),1,36:05,1,10,.100,1,4,.250,11,11,1.000,2,2,4,6,5,0,1,3,14,16.4,+10
33,33,1998-01-09,21-106,BOS,,SEA,L (-19),1,26:28,1,10,.100,1,5,.200,1,1,1.000,1,0,1,7,1,0,0,2,4,3.2,-17
34,34,1998-01-10,21-107,BOS,@,ORL,L (-8),1,22:59,2,8,.250,1,4,.250,0,0,,2,1,3,2,2,0,4,3,5,0.1,-12
35,35,1998-01-13,21-110,BOS,,SAS,L (-9),1,35:21,5,14,.357,3,8,.375,13,15,.867,1,0,1,4,2,0,5,0,26,17.9,-11
