Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2012-10-31,22-108,POR,,LAL,W (+10),1,34:59,7,17,.412,1,4,.250,8,8,1.000,0,3,3,11,1,0,6,2,23,16.7,+16
2,2,2012-11-02,22-110,POR,@,OKC,L (-14),1,37:33,9,19,.474,2,6,.333,1,1,1.000,1,2,3,7,1,0,2,1,21,16.1,-9
3,3,2012-11-03,22-111,POR,@,HOU,W (+10),1,42:18,8,15,.533,3,6,.500,1,2,.500,1,5,6,9,0,0,3,0,20,17.8,+10
4,4,2012-11-05,22-113,POR,@,DAL,L (-23),1,32:47,2,13,.154,1,8,.125,8,8,1.000,1,2,3,5,1,0,1,2,13,8.7,-12
5,5,2012-11-08,22-116,POR,,LAC,L (-13),1,41:21,6,13,.462,2,4,.500,2,4,.500,1,1,2,4,3,0,3,2,16,11.5,-9
6,6,2012-11-10,22-118,POR,,SAS,L (-3),1,37:49,8,16,.500,4,8,.500,0,1,.000,1,2,3,6,2,0,4,3,20,13.9,+1
7,7,2012-11-12,22-120,POR,,ATL,L (-8),1,38:36,5,18,.278,2,7,.286,0,0,,1,2,3,2,2,1,4,3,12,1.6,-20
8,8,2012-11-13,22-121,POR,@,SAC,W (+17),1,35:10,7,10,.700,5,6,.833,3,4,.750,1,1,2,9,0,0,4,2,22,19.9,+24
9,9,2012-11-16,22-124,POR,,HOU,W (+2),1,42:15,9,18,.500,3,9,.333,6,6,1.000,0,5,5,5,2,0,4,2,27,20.2,+10
10,10,2012-11-18,22-126,POR,,CHI,W (+8),1,32:15,7,13,.538,1,4,.250,1,2,.500,0,2,2,3,3,0,2,2,16,12.2,-5
11,11,2012-11-21,22-129,POR,@,PHO,L (-27),1,35:13,7,13,.538,2,4,.500,8,9,.889,0,0,0,3,1,0,6,1,24,14.0,-16
12,12,2012-11-23,22-131,POR,,MIN,W (+8),1,37:07,11,17,.647,4,8,.500,2,4,.500,0,4,4,8,0,1,0,0,28,27.2,+10
13,13,2012-11-25,22-133,POR,@,BRK,L (-13),1,31:09,4,12,.333,3,5,.600,2,2,1.000,1,5,6,7,2,2,4,4,13,11.1,-12
14,14,2012-11-26,22-134,POR,@,DET,L (-7),1,36:53,4,18,.222,1,5,.200,3,3,1.000,1,2,3,7,1,0,3,4,12,3.6,-5
15,15,2012-11-28,22-136,POR,@,WAS,L (-2),1,42:34,6,21,.286,4,9,.444,4,4,1.000,2,0,2,5,2,0,2,1,20,12.2,+2
16,16,2012-11-30,22-138,POR,@,BOS,L (-18),1,30:37,2,8,.250,1,5,.200,3,4,.750,1,2,3,3,1,0,3,3,8,3.0,-12
17,17,2012-12-01,22-139,POR,@,CLE,W (+1),1,45:51,9,17,.529,4,7,.571,2,2,1.000,2,4,6,11,1,0,6,4,24,19.4,+4
18,18,2012-12-03,22-141,POR,@,CHA,W (+6),1,42:52,6,16,.375,1,8,.125,11,14,.786,1,2,3,9,1,0,3,4,24,18.0,+11
19,19,2012-12-05,22-143,POR,@,IND,L (-7),1,42:40,9,15,.600,1,5,.200,4,5,.800,0,3,3,6,0,0,0,3,23,19.6,-3
20,20,2012-12-08,22-146,POR,,SAC,L (-19),1,38:51,5,13,.385,2,5,.400,0,1,.000,0,1,1,9,0,0,4,1,12,6.7,-16
21,21,2012-12-10,22-148,POR,,TOR,W (+18),1,35:30,2,14,.143,0,5,.000,5,5,1.000,1,4,5,6,0,0,2,0,9,4.1,+16
22,22,2012-12-13,22-151,POR,,SAS,W (+8),1,40:29,11,22,.500,2,6,.333,5,5,1.000,0,7,7,6,0,0,2,3,29,21.1,+6
23,23,2012-12-16,22-154,POR,,NOH,W (+1),1,38:35,5,14,.357,4,10,.400,2,2,1.000,0,2,2,4,1,1,1,3,16,11.1,-3
24,24,2012-12-20,22-158,POR,,DEN,W (+8),1,35:23,3,14,.214,1,6,.167,5,6,.833,1,3,4,10,1,0,2,0,12,10.6,+9
25,25,2012-12-22,22-160,POR,,PHO,W (+3),1,39:02,7,13,.538,2,5,.400,9,10,.900,1,0,1,7,1,0,3,2,25,21.1,+7
26,26,2012-12-23,22-161,POR,@,SAC,L (-12),1,35:54,6,14,.429,3,6,.500,0,0,,0,2,2,7,1,1,3,1,15,11.4,-3
27,27,2012-12-26,22-164,POR,,SAC,W (+18),1,37:47,7,14,.500,3,5,.600,0,0,,2,6,8,11,1,1,4,3,17,17.4,+27
28,28,2012-12-28,22-166,POR,@,LAL,L (-17),1,37:28,4,17,.235,1,4,.250,2,2,1.000,0,2,2,4,1,0,3,2,11,1.3,-21
29,29,2012-12-29,22-167,POR,,PHI,W (+4),1,38:40,8,18,.444,4,11,.364,0,0,,0,0,0,0,0,1,1,3,20,9.1,+1
30,30,2013-01-01,22-170,POR,@,NYK,W (+5),1,39:33,9,19,.474,2,8,.250,1,2,.500,0,5,5,6,2,0,3,1,21,15.2,+5
31,31,2013-01-02,22-171,POR,@,TOR,L (-23),1,37:23,6,13,.462,1,5,.200,5,6,.833,1,4,5,7,0,0,7,2,18,9.9,-18
32,32,2013-01-04,22-173,POR,@,MEM,W (+2),1,37:59,5,14,.357,1,4,.250,0,0,,0,5,5,8,1,0,5,0,11,6.3,-1
