Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-02-05,20-231,DAL,@,SEA,L (-6),1,16:20,0,5,.000,0,1,.000,2,2,1.000,0,0,0,4,0,0,0,1,2,0.9,-4
2,2,1999-02-07,20-233,DAL,@,GSW,W (+3),1,32:37,6,10,.600,2,4,.500,2,4,.500,3,9,12,3,1,0,4,0,16,14.5,+9
3,3,1999-02-09,20-235,DAL,,UTA,L (-11),1,31:57,4,14,.286,1,2,.500,6,8,.750,3,6,9,0,0,1,3,3,15,6.4,-10
4,4,1999-02-11,20-237,DAL,,HOU,L (-10),1,24:18,3,9,.333,1,1,1.000,1,1,1.000,1,4,5,0,0,2,3,0,8,3.2,-3
5,5,1999-02-12,20-238,DAL,@,DEN,L (-6),1,18:57,4,8,.500,0,1,.000,0,0,,1,4,5,0,1,1,2,1,8,5.2,-8
6,6,1999-02-14,20-240,DAL,@,VAN,L (-4),1,11:52,2,7,.286,0,0,,2,2,1.000,0,1,1,0,1,0,1,0,6,2.2,-6
7,7,1999-02-15,20-241,DAL,@,POR,L (-15),1,18:24,3,6,.500,0,1,.000,2,3,.667,1,1,2,0,0,1,4,0,8,2.3,0
8,8,1999-02-17,20-243,DAL,@,LAL,L (-13),1,24:27,2,10,.200,0,0,,3,4,.750,2,2,4,3,0,1,1,2,7,3.4,-5
9,9,1999-02-19,20-245,DAL,@,GSW,L (-5),1,12:39,1,5,.200,0,1,.000,2,2,1.000,0,1,1,1,0,1,1,0,4,1.6,+1
10,10,1999-02-20,20-246,DAL,@,LAC,W (+15),0,8:31,0,4,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,1,0,-3.3,-3
11,11,1999-02-22,20-248,DAL,@,PHO,L (-18),0,18:59,4,9,.444,0,3,.000,3,3,1.000,0,1,1,1,0,1,0,0,11,8.0,-3
12,12,1999-02-23,20-249,DAL,,ATL,W (+4),0,5:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+4
13,13,1999-02-25,20-251,DAL,,DEN,W (+9),0,4:30,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2.2,0
14,14,1999-02-26,20-252,DAL,@,UTA,L (-15),1,36:28,1,7,.143,0,2,.000,3,4,.750,1,6,7,0,1,2,3,5,5,0.0,-4
15,,1999-02-27,20-253,DAL,,SAC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,15,1999-03-02,20-256,DAL,,LAC,W (+13),0,4:37,2,3,.667,0,1,.000,2,2,1.000,0,2,2,1,0,0,0,3,6,4.8,+3
17,16,1999-03-04,20-258,DAL,,SAS,L (-16),0,26:07,4,11,.364,1,3,.333,2,3,.667,1,5,6,1,1,2,3,4,11,5.2,+2
18,17,1999-03-05,20-259,DAL,@,UTA,L (-11),0,24:07,4,9,.444,0,2,.000,2,3,.667,3,1,4,1,2,0,1,4,10,7.4,+9
19,18,1999-03-07,20-261,DAL,@,SAC,L (-5),0,11:55,0,3,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,2,2,-0.6,-3
20,19,1999-03-09,20-263,DAL,,PHO,L (-12),0,10:12,2,4,.500,0,1,.000,0,0,,2,0,2,0,0,0,0,1,4,3.0,-9
21,20,1999-03-11,20-265,DAL,,ORL,W (+17),0,9:08,2,4,.500,0,0,,3,5,.600,1,1,2,0,1,0,1,2,7,4.4,0
22,21,1999-03-13,20-267,DAL,,VAN,W (+17),0,12:05,1,4,.250,0,3,.000,2,2,1.000,0,2,2,0,0,0,3,0,4,-0.8,+4
23,22,1999-03-15,20-269,DAL,,POR,L (-15),0,13:49,3,6,.500,1,3,.333,1,2,.500,0,1,1,1,1,1,2,3,8,4.1,+1
24,23,1999-03-17,20-271,DAL,@,NJN,L (-1),0,17:39,5,9,.556,1,2,.500,0,0,,1,1,2,1,1,1,0,3,11,8.9,+14
25,24,1999-03-19,20-273,DAL,@,DET,L (-7),0,7:34,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,2,0,2,2,0.2,-10
