Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1989-11-03,22-159,MIA,,NJN,L (-20),0,23:00,6,13,.462,0,1,.000,1,3,.333,2,2,4,0,0,0,0,3,13,6.3
2,2,1989-11-04,22-160,MIA,@,NYK,L (-20),0,20:00,1,5,.200,0,0,,2,2,1.000,0,2,2,1,0,0,2,3,4,-1.0
3,3,1989-11-07,22-163,MIA,@,NJN,W (+6),0,26:00,6,13,.462,0,2,.000,0,0,,1,3,4,1,1,0,1,2,12,6.8
4,4,1989-11-08,22-164,MIA,@,PHI,L (-24),0,30:00,7,11,.636,0,1,.000,1,2,.500,2,2,4,1,0,0,2,3,15,9.2
5,5,1989-11-10,22-166,MIA,@,IND,L (-4),1,31:00,6,13,.462,1,3,.333,0,0,,1,4,5,2,1,0,0,4,13,9.0
6,6,1989-11-11,22-167,MIA,,DET,W (+4),1,23:00,2,8,.250,0,2,.000,0,0,,0,1,1,1,1,0,0,1,4,0.8
7,7,1989-11-14,22-170,MIA,,HOU,W (+2),1,33:00,6,11,.545,0,1,.000,1,2,.500,0,3,3,3,1,0,4,0,13,7.3
8,8,1989-11-15,22-171,MIA,@,DET,L (-36),1,31:00,6,14,.429,1,4,.250,1,1,1.000,1,3,4,1,1,0,0,2,14,9.1
9,9,1989-11-18,22-174,MIA,@,DAL,L (-1),1,31:00,6,16,.375,0,2,.000,1,1,1.000,2,4,6,6,0,1,2,2,13,8.9
10,10,1989-11-19,22-175,MIA,@,HOU,L (-38),1,27:00,3,11,.273,0,2,.000,0,0,,0,2,2,0,0,2,3,3,6,-2.7
11,11,1989-11-22,22-178,MIA,,PHI,L (-10),0,18:00,4,10,.400,0,1,.000,0,2,.000,2,1,3,0,0,0,0,2,8,2.7
12,12,1989-11-24,22-180,MIA,,ATL,L (-16),1,27:00,6,13,.462,0,0,,3,4,.750,0,3,3,0,0,0,1,4,15,6.2
13,13,1989-11-25,22-181,MIA,@,WSB,L (-19),1,25:00,2,9,.222,0,0,,0,0,,0,3,3,0,2,0,2,3,4,-1.8
14,14,1989-11-28,22-184,MIA,@,ORL,L (-5),0,21:00,8,19,.421,0,4,.000,1,2,.500,2,5,7,2,1,0,1,4,17,9.2
15,15,1989-11-29,22-185,MIA,,MIN,L (-5),0,26:00,8,16,.500,0,2,.000,2,2,1.000,2,3,5,0,0,0,0,1,18,11.9
16,16,1989-12-01,22-187,MIA,@,NJN,L (-24),0,18:00,2,9,.222,0,0,,2,4,.500,1,1,2,1,2,0,3,2,6,-0.4
17,17,1989-12-02,22-188,MIA,,CHI,L (-7),0,21:00,2,10,.200,0,0,,4,4,1.000,0,1,1,0,1,1,2,2,8,1.0
18,18,1989-12-05,22-191,MIA,,POR,L (-6),0,20:00,5,14,.357,0,3,.000,0,0,,2,1,3,0,1,0,0,3,10,3.7
19,19,1989-12-06,22-192,MIA,@,PHI,L (-23),0,20:00,4,10,.400,0,0,,0,0,,0,2,2,0,2,0,3,1,8,1.8
20,20,1989-12-08,22-194,MIA,,ORL,W (+8),0,15:00,0,7,.000,0,0,,2,2,1.000,1,1,2,1,0,0,1,1,2,-2.6
21,21,1989-12-13,22-199,MIA,,LAL,L (-27),0,25:00,4,11,.364,0,1,.000,0,0,,1,2,3,0,0,2,1,1,8,3.2
22,22,1989-12-15,22-201,MIA,@,MIN,W (+11),0,24:00,6,13,.462,0,0,,0,0,,3,6,9,0,0,0,1,3,12,7.0
23,23,1989-12-16,22-202,MIA,@,MIL,W (+3),1,39:00,7,22,.318,0,0,,7,7,1.000,5,8,13,2,3,0,1,2,21,16.9
24,24,1989-12-19,22-205,MIA,,NJN,L (-2),1,37:00,6,13,.462,0,0,,2,2,1.000,1,2,3,1,0,1,2,1,14,7.6
25,25,1989-12-21,22-207,MIA,,ATL,L (-2),1,40:00,13,21,.619,0,0,,1,2,.500,2,7,9,1,0,0,2,5,27,17.3
26,26,1989-12-23,22-209,MIA,,DEN,L (-31),1,26:00,7,12,.583,0,0,,0,0,,1,2,3,3,2,2,3,1,14,11.8
