Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2000-10-31,20-225,CHI,,SAC,L (-19),0,4:01,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,3,3.3,-6
2,2,2000-11-03,20-228,CHI,,NJN,L (-10),0,8:31,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,1,1,1,2,0.6,-4
3,,2000-11-04,20-229,CHI,@,IND,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2000-11-07,20-232,CHI,,WAS,L (-5),0,3:52,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,3,0,-4.6,0
5,,2000-11-09,20-234,CHI,,ORL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,4,2000-11-11,20-236,CHI,,TOR,L (-23),0,4:03,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,0,0,1,0.6,-3
7,5,2000-11-14,20-239,CHI,@,HOU,L (-27),0,12:29,2,7,.286,0,2,.000,0,0,,0,1,1,1,0,1,3,3,4,-2.6,-17
8,,2000-11-16,20-241,CHI,@,DEN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,6,2000-11-18,20-243,CHI,@,UTA,L (-45),0,13:30,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,1,0,0,0,1.7,-15
10,,2000-11-19,20-244,CHI,@,LAL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2000-11-21,20-246,CHI,@,GSW,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,7,2000-11-22,20-247,CHI,@,SAC,L (-29),0,12:24,1,4,.250,0,1,.000,2,2,1.000,0,4,4,2,1,0,3,0,4,2.2,-8
13,8,2000-11-26,20-251,CHI,@,TOR,L (-12),0,18:21,1,3,.333,1,1,1.000,0,0,,0,0,0,2,1,1,0,1,3,4.0,+1
14,9,2000-11-28,20-253,CHI,,MIN,L (-20),0,27:58,1,8,.125,0,2,.000,1,2,.500,0,1,1,4,1,0,2,0,3,-0.5,+3
15,10,2000-11-30,20-255,CHI,@,ATL,W (+9),0,16:49,1,2,.500,0,0,,0,0,,0,2,2,3,0,0,2,0,2,1.7,+2
16,11,2000-12-01,20-256,CHI,,NYK,L (-5),0,6:42,0,6,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,1,0,-3.6,-14
17,12,2000-12-05,20-260,CHI,@,MIN,L (-10),0,28:54,6,13,.462,1,4,.250,0,0,,1,2,3,2,2,0,3,3,13,6.8,+3
18,13,2000-12-06,20-261,CHI,,CLE,L (-4),0,14:39,3,4,.750,0,1,.000,0,0,,0,1,1,1,0,0,1,0,6,4.4,-14
19,14,2000-12-08,20-263,CHI,@,DAL,L (-19),0,26:53,2,6,.333,1,2,.500,0,0,,0,4,4,6,1,1,1,4,5,6.1,-11
20,15,2000-12-09,20-264,CHI,@,SAS,L (-24),0,19:31,1,3,.333,0,0,,0,1,.000,0,0,0,6,1,0,1,2,2,3.3,-3
21,16,2000-12-11,20-266,CHI,,PHO,L (-6),0,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
22,17,2000-12-13,20-268,CHI,@,BOS,W (+18),0,21:00,1,2,.500,1,1,1.000,0,0,,0,1,1,0,2,1,4,2,3,0.2,+6
23,18,2000-12-15,20-270,CHI,,ATL,L (-11),0,13:50,0,4,.000,0,2,.000,0,0,,0,0,0,3,0,1,2,1,0,-2.4,-7
24,19,2000-12-16,20-271,CHI,,PHI,L (-8),0,0:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
