Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1994-11-05,21-227,DAL,,NJN,W (+9),1,35:00,3,10,.300,0,1,.000,4,6,.667,1,8,9,11,3,0,3,4,10,12.6
2,2,1994-11-08,21-230,DAL,,DEN,L (-8),1,38:00,2,12,.167,0,4,.000,1,1,1.000,4,8,12,6,2,1,0,3,5,8.3
3,3,1994-11-11,21-233,DAL,@,PHI,W (+7),1,41:00,7,11,.636,1,3,.333,4,4,1.000,3,6,9,5,2,0,3,1,19,20.1
4,4,1994-11-12,21-234,DAL,@,CHI,W (+4),1,41:00,2,6,.333,2,4,.500,3,4,.750,1,7,8,9,1,0,4,2,9,10.5
5,5,1994-11-15,21-237,DAL,@,MIA,L (-13),1,33:00,2,11,.182,1,8,.125,0,0,,1,1,2,5,2,1,1,2,5,3.5
6,6,1994-11-17,21-239,DAL,,SAC,W (+2),1,33:00,3,12,.250,0,1,.000,2,2,1.000,4,1,5,3,2,0,2,2,8,5.2
7,7,1994-11-19,21-241,DAL,,CHI,L (-26),1,26:00,2,4,.500,0,0,,0,0,,0,3,3,5,0,0,2,0,4,4.4
8,8,1994-11-23,21-245,DAL,@,LAL,L (-12),1,33:00,5,9,.556,0,1,.000,1,3,.333,3,2,5,6,2,0,2,1,11,12.4
9,9,1994-11-25,21-247,DAL,,POR,W (+10),1,37:00,4,6,.667,0,0,,5,6,.833,1,2,3,10,4,0,4,4,13,16.7
10,10,1994-11-26,21-248,DAL,@,DEN,W (+1),1,42:00,4,13,.308,0,3,.000,5,6,.833,2,6,8,6,2,0,3,1,13,11.1
11,11,1994-11-29,21-251,DAL,,MIN,W (+1),1,38:00,2,9,.222,0,1,.000,7,10,.700,5,3,8,4,2,0,2,4,11,9.9
12,12,1994-12-01,21-253,DAL,,DEN,L (-9),1,33:00,3,10,.300,0,3,.000,1,3,.333,2,3,5,5,4,0,3,1,7,6.8
13,13,1994-12-03,21-255,DAL,,UTA,L (-25),1,32:00,1,10,.100,1,5,.200,0,0,,2,1,3,3,2,0,4,3,3,-3.0
14,14,1994-12-06,21-258,DAL,@,SAS,W (+3),1,45:00,3,9,.333,0,1,.000,4,4,1.000,2,5,7,13,5,1,2,2,10,19.8
15,15,1994-12-08,21-260,DAL,,WSB,L (-3),1,44:00,5,13,.385,0,1,.000,1,2,.500,2,4,6,12,2,1,1,3,11,15.0
16,16,1994-12-10,21-262,DAL,,CHH,W (+13),1,37:00,2,6,.333,0,0,,1,1,1.000,2,5,7,13,2,0,4,0,5,11.6
17,17,1994-12-13,21-265,DAL,,LAL,L (-7),1,38:00,2,8,.250,0,2,.000,0,0,,1,3,4,8,4,0,4,1,4,6.0
18,18,1994-12-15,21-267,DAL,,BOS,W (+9),1,36:00,4,10,.400,0,0,,2,2,1.000,2,1,3,10,2,0,6,5,10,7.3
19,19,1994-12-17,21-269,DAL,@,LAC,W (+19),1,32:00,2,8,.250,0,1,.000,1,2,.500,1,5,6,9,1,0,4,3,5,4.1
20,20,1994-12-20,21-272,DAL,@,GSW,W (+3),1,40:00,7,14,.500,1,6,.167,4,6,.667,2,3,5,10,1,1,1,3,19,20.0
21,21,1994-12-22,21-274,DAL,@,SEA,L (-2),1,33:00,4,8,.500,0,3,.000,2,2,1.000,0,1,1,9,4,0,3,3,10,12.4
22,22,1994-12-23,21-275,DAL,@,POR,L (-26),1,28:00,2,5,.400,0,2,.000,0,2,.000,1,3,4,4,1,1,3,2,4,2.8
23,23,1994-12-26,21-278,DAL,@,PHO,L (-26),1,38:00,4,8,.500,0,1,.000,0,0,,2,5,7,11,4,0,6,4,8,11.0
24,24,1994-12-27,21-279,DAL,,PHO,L (-1),1,42:00,2,10,.200,0,1,.000,6,10,.600,3,4,7,16,4,1,6,3,10,14.2
25,25,1994-12-30,21-282,DAL,,GSW,W (+16),1,39:00,5,17,.294,1,3,.333,0,0,,5,7,12,9,2,0,6,2,11,8.2
26,26,1995-01-03,21-286,DAL,,HOU,L (-12),1,43:00,2,15,.133,1,6,.167,1,1,1.000,4,2,6,11,4,0,5,1,6,6.0
27,27,1995-01-05,21-288,DAL,@,HOU,L (-9),1,34:00,1,7,.143,1,2,.500,3,4,.750,3,1,4,8,3,0,4,3,6,6.9
28,28,1995-01-06,21-289,DAL,,IND,W (+11),1,40:00,6,14,.429,1,4,.250,2,2,1.000,4,4,8,10,4,0,2,1,15,20.2
29,29,1995-01-09,21-292,DAL,@,UTA,L (-16),1,32:00,6,12,.500,3,5,.600,2,4,.500,2,3,5,7,0,0,3,0,17,14.4
30,30,1995-01-11,21-294,DAL,,LAC,W (+5),1,39:00,7,12,.583,1,4,.250,6,9,.667,1,4,5,12,2,0,1,3,21,24.3
31,31,1995-01-12,21-295,DAL,@,DEN,L (-16),1,29:00,4,7,.571,1,3,.333,2,3,.667,1,3,4,5,2,0,3,0,11,11.4
32,32,1995-01-14,21-297,DAL,,MIA,L (-7),1,35:00,5,16,.313,0,4,.000,5,10,.500,4,6,10,4,1,0,2,1,15,9.8
33,33,1995-01-15,21-298,DAL,@,SAS,W (+5),1,40:00,4,8,.500,1,2,.500,0,0,,1,9,10,6,2,0,3,1,9,11.2
34,34,1995-01-18,21-301,DAL,,ORL,L (-11),1,32:00,3,6,.500,0,0,,0,0,,0,7,7,5,3,0,7,2,6,3.8
