Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2001-10-31,20-284,GSW,@,POR,L (-5),0,16:37,2,6,.333,0,0,,2,2,1.000,0,3,3,2,0,0,1,2,6,3.1,0
2,2,2001-11-01,20-285,GSW,,PHO,L (-6),0,17:32,0,4,.000,0,0,,1,2,.500,0,0,0,3,0,0,1,1,1,-1.5,0
3,3,2001-11-03,20-287,GSW,@,LAC,W (+2),0,29:42,5,14,.357,2,5,.400,0,1,.000,2,2,4,0,1,1,2,4,12,3.9,+1
4,4,2001-11-04,20-288,GSW,,POR,W (+10),0,20:32,3,8,.375,0,2,.000,0,2,.000,3,2,5,2,0,0,0,0,6,4.9,+2
5,5,2001-11-07,20-291,GSW,@,TOR,L (-17),0,29:03,5,9,.556,1,1,1.000,5,6,.833,0,2,2,2,1,1,0,2,16,14.2,+1
6,6,2001-11-09,20-293,GSW,@,WAS,W (+9),1,17:14,2,2,1.000,1,1,1.000,0,2,.000,0,1,1,0,3,0,2,1,5,4.5,0
7,7,2001-11-10,20-294,GSW,@,NYK,W (+19),1,25:58,4,11,.364,2,3,.667,5,6,.833,1,3,4,5,0,0,0,1,15,13.2,+8
8,8,2001-11-12,20-296,GSW,@,MEM,W (+7),1,20:37,4,6,.667,0,1,.000,0,0,,1,5,6,2,3,1,2,3,8,9.5,-5
9,9,2001-11-14,20-298,GSW,,TOR,L (-7),1,22:46,3,9,.333,0,2,.000,0,2,.000,3,5,8,3,1,0,2,1,6,4.4,+7
10,10,2001-11-16,20-300,GSW,@,SEA,L (-9),1,27:27,5,11,.455,1,2,.500,1,2,.500,5,4,9,4,2,0,2,1,12,13.0,-6
11,11,2001-11-17,20-301,GSW,,CHI,W (+5),1,35:05,8,15,.533,4,7,.571,3,4,.750,2,6,8,8,1,0,1,4,23,22.5,+12
12,12,2001-11-20,20-304,GSW,,NYK,L (-24),1,26:38,4,13,.308,0,2,.000,0,0,,2,0,2,4,2,1,0,1,8,7.0,-23
13,13,2001-11-23,20-307,GSW,@,LAL,L (-16),1,22:22,4,12,.333,1,2,.500,2,4,.500,5,1,6,0,0,1,2,3,11,4.7,-20
14,14,2001-11-25,20-309,GSW,,NJN,W (+16),1,35:20,5,15,.333,1,6,.167,1,2,.500,4,2,6,4,3,1,1,0,12,12.0,+15
15,15,2001-11-27,20-311,GSW,@,DAL,L (-10),1,36:41,5,12,.417,1,5,.200,0,0,,1,4,5,2,2,0,1,5,11,6.9,-24
16,16,2001-11-28,20-312,GSW,@,SAS,L (-11),1,26:04,3,9,.333,1,3,.333,0,0,,0,0,0,1,2,0,1,2,7,2.8,-6
17,17,2001-12-01,20-315,GSW,,DAL,L (-29),1,25:36,1,6,.167,0,1,.000,0,2,.000,0,5,5,4,0,0,1,3,2,-0.5,-22
18,18,2001-12-03,20-317,GSW,@,PHO,L (-17),1,20:44,1,9,.111,0,1,.000,0,0,,2,2,4,1,0,1,2,1,2,-2.9,-10
19,19,2001-12-05,20-319,GSW,,PHI,W (+6),1,19:06,0,6,.000,0,0,,0,0,,4,0,4,1,2,0,1,1,0,-0.1,-5
20,20,2001-12-07,20-321,GSW,,CHH,L (-17),1,14:42,3,8,.375,0,0,,0,0,,1,0,1,3,0,0,1,0,6,3.4,-12
21,21,2001-12-08,20-322,GSW,@,UTA,L (-10),1,26:32,7,9,.778,1,2,.500,3,5,.600,0,3,3,1,1,0,0,0,18,16.3,+3
22,22,2001-12-11,20-325,GSW,@,MIN,L (-21),1,22:49,3,11,.273,0,1,.000,0,0,,2,2,4,3,0,1,2,0,6,2.3,-15
23,23,2001-12-13,20-327,GSW,,ORL,L (-5),1,28:22,5,14,.357,0,1,.000,1,3,.333,1,2,3,1,0,0,1,3,11,2.2,+6
24,24,2001-12-15,20-329,GSW,,MEM,W (+9),1,32:51,5,11,.455,1,2,.500,2,4,.500,2,1,3,3,2,0,4,3,13,7.1,+14
25,25,2001-12-16,20-330,GSW,@,LAL,L (-16),1,28:38,6,10,.600,1,3,.333,3,4,.750,1,1,2,3,0,0,2,4,16,10.5,-8
26,26,2001-12-19,20-333,GSW,,DET,W (+13),1,36:10,7,13,.538,0,0,,4,5,.800,2,3,5,1,3,1,0,1,18,17.6,+11
27,27,2001-12-21,20-335,GSW,,SEA,L (-3),1,41:47,10,14,.714,2,3,.667,2,5,.400,3,5,8,4,3,1,5,4,24,20.5,+1
28,28,2001-12-22,20-336,GSW,@,DEN,W (+4),1,34:03,4,14,.286,0,1,.000,5,7,.714,2,6,8,4,3,0,1,1,13,11.6,+4
29,29,2001-12-26,20-340,GSW,,LAL,W (+11),1,30:46,8,16,.500,0,0,,4,5,.800,2,5,7,2,2,3,5,1,20,14.6,+6
30,30,2001-12-28,20-342,GSW,,HOU,L (-7),1,33:46,4,13,.308,0,2,.000,1,2,.500,5,1,6,3,0,0,0,3,9,5.8,-4
31,31,2002-01-02,20-347,GSW,@,CLE,L (-15),1,31:36,4,12,.333,1,1,1.000,4,4,1.000,1,0,1,3,0,1,0,2,13,8.9,-8
32,32,2002-01-03,20-348,GSW,@,CHH,L (-12),1,26:47,9,15,.600,0,0,,0,2,.000,2,0,2,2,0,0,0,5,18,11.1,+6
33,33,2002-01-05,20-350,GSW,@,ORL,L (-9),1,37:33,5,12,.417,0,1,.000,4,4,1.000,0,2,2,8,3,0,0,2,14,16.0,+2
34,34,2002-01-06,20-351,GSW,@,MIA,L (-8),1,38:07,4,14,.286,0,2,.000,4,4,1.000,2,2,4,0,0,0,2,2,12,3.0,-8
35,35,2002-01-08,20-353,GSW,,MIL,L (-16),1,32:11,3,13,.231,0,1,.000,4,5,.800,0,3,3,0,0,1,1,2,10,1.5,-12
36,36,2002-01-14,20-359,GSW,,MIA,L (-6),1,27:19,2,6,.333,0,2,.000,0,0,,0,2,2,3,1,0,2,4,4,0.7,+2
37,37,2002-01-16,20-361,GSW,,CLE,W (+29),1,36:04,6,16,.375,0,2,.000,3,4,.750,3,0,3,3,4,1,1,3,15,12.5,+21
38,38,2002-01-18,20-363,GSW,@,SAC,L (-24),1,39:55,7,19,.368,1,4,.250,4,6,.667,1,3,4,4,3,0,3,2,19,11.3,-10
39,39,2002-01-19,20-364,GSW,,MIN,L (-3),1,36:58,4,14,.286,0,3,.000,1,1,1.000,0,2,2,5,0,0,4,6,9,-1.5,-9
40,40,2002-01-21,21-001,GSW,,UTA,L (-2),1,35:59,7,14,.500,1,2,.500,2,3,.667,1,4,5,6,2,0,4,2,17,12.9,-4
41,41,2002-01-23,21-003,GSW,,MEM,W (+12),1,37:33,6,14,.429,1,3,.333,0,0,,1,2,3,6,1,0,2,0,13,10.1,+8
42,42,2002-01-26,21-006,GSW,,SAS,L (-8),1,31:27,5,13,.385,1,3,.333,0,0,,1,4,5,4,0,0,3,2,11,4.8,-6
43,43,2002-01-29,21-009,GSW,@,HOU,L (-4),1,37:03,7,14,.500,2,4,.500,0,1,.000,1,1,2,4,2,1,3,4,16,10.5,+5
44,44,2002-02-01,21-012,GSW,@,PHO,L (-6),1,38:14,10,20,.500,2,6,.333,0,0,,3,2,5,2,5,0,3,1,22,17.7,-11
45,45,2002-02-03,21-014,GSW,,PHO,L (-1),1,36:04,4,12,.333,2,5,.400,1,4,.250,0,1,1,2,2,0,0,4,11,5.1,-1
46,46,2002-02-05,21-016,GSW,,SEA,L (-26),1,38:06,3,10,.300,0,2,.000,1,2,.500,1,5,6,3,1,0,3,0,7,3.1,-14
47,47,2002-02-13,21-024,GSW,,BOS,W (+17),1,37:14,9,22,.409,1,5,.200,0,0,,6,4,10,2,0,0,3,4,19,9.4,+12
48,48,2002-02-15,21-026,GSW,,SAS,L (-9),1,37:27,11,19,.579,3,7,.429,3,5,.600,1,3,4,3,0,0,2,5,28,18.0,-1
49,49,2002-02-17,21-028,GSW,,ATL,L (-6),1,34:23,6,15,.400,2,5,.400,6,10,.600,0,5,5,3,2,0,2,2,20,13.1,-3
50,50,2002-02-19,21-030,GSW,@,NJN,L (-8),1,41:12,11,21,.524,1,5,.200,2,4,.500,3,4,7,4,1,0,1,5,25,18.0,+4
51,51,2002-02-20,21-031,GSW,@,PHI,L (-7),1,42:41,5,15,.333,3,6,.500,3,4,.750,1,3,4,3,3,0,7,5,16,4.8,-11
52,52,2002-02-22,21-033,GSW,@,MIL,L (-4),1,42:24,16,22,.727,3,5,.600,0,0,,2,1,3,5,0,1,1,2,35,30.1,+4
53,53,2002-02-23,21-034,GSW,@,CHI,L (-14),1,36:51,4,13,.308,1,3,.333,2,2,1.000,0,1,1,3,1,1,2,1,11,5.2,-1
54,54,2002-02-25,21-036,GSW,,IND,L (-5),1,40:07,6,21,.286,2,6,.333,0,0,,2,3,5,3,1,0,0,5,14,5.1,-20
55,55,2002-02-27,21-038,GSW,,DEN,W (+17),1,40:16,9,14,.643,2,4,.500,3,4,.750,1,2,3,2,2,0,5,3,23,14.9,+18
56,56,2002-03-01,21-040,GSW,,SAC,L (-8),1,20:48,2,9,.222,1,4,.250,2,2,1.000,2,0,2,6,1,1,0,1,7,8.4,-12
