Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-17,19-228,BOS,@,CLE,L (-3),1,36:32,5,12,.417,1,2,.500,3,3,1.000,4,6,10,3,0,0,1,4,14,11.7,+8
2,2,2017-10-18,19-229,BOS,,MIL,L (-8),1,36:32,3,7,.429,0,1,.000,2,5,.400,2,7,9,2,1,0,2,3,8,5.8,-15
3,3,2017-10-20,19-231,BOS,@,PHI,W (+10),1,32:45,3,8,.375,0,2,.000,9,9,1.000,2,6,8,0,0,3,3,3,15,11.7,-4
4,4,2017-10-24,19-235,BOS,,NYK,W (+21),1,31:08,9,15,.600,4,6,.667,0,0,,1,3,4,2,4,2,3,4,22,18.9,+10
5,5,2017-10-26,19-237,BOS,@,MIL,W (+7),1,27:49,3,6,.500,1,3,.333,5,5,1.000,0,2,2,3,1,0,2,1,12,10.3,+8
6,6,2017-10-28,19-239,BOS,@,MIA,W (+6),1,31:28,6,9,.667,2,2,1.000,6,7,.857,2,3,5,0,0,0,0,1,20,17.6,+2
7,7,2017-10-30,19-241,BOS,,SAS,W (+14),1,35:18,2,7,.286,2,4,.500,1,2,.500,0,11,11,2,0,3,2,3,7,6.1,+12
8,8,2017-11-01,19-243,BOS,,SAC,W (+27),1,26:25,4,7,.571,1,2,.500,3,4,.750,1,3,4,2,0,0,2,1,12,8.9,+23
9,9,2017-11-03,19-245,BOS,@,OKC,W (+7),1,29:48,4,10,.400,2,3,.667,3,4,.750,2,4,6,3,0,0,4,1,13,7.5,+4
10,10,2017-11-05,19-247,BOS,@,ORL,W (+16),1,27:19,5,8,.625,2,4,.500,1,2,.500,0,4,4,3,1,0,0,4,13,11.7,+6
11,11,2017-11-06,19-248,BOS,@,ATL,W (+3),1,32:27,7,13,.538,3,5,.600,4,4,1.000,0,8,8,1,1,2,0,1,21,19.8,+15
