Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-11-02,22-048,ATL,@,WAS,L (-7),0,10:50,1,3,.333,1,2,.500,2,2,1.000,0,1,1,1,2,0,2,3,5,3.1,-2
2,2,1999-11-04,22-050,ATL,,MIL,L (-10),0,20:28,4,6,.667,3,4,.750,2,2,1.000,0,1,1,4,0,0,3,1,13,10.1,-6
3,3,1999-11-06,22-052,ATL,,CHI,W (+16),0,24:00,4,7,.571,0,1,.000,4,4,1.000,0,2,2,5,5,0,4,2,12,13.0,+3
4,4,1999-11-08,22-054,ATL,@,DEN,L (-15),0,23:15,6,10,.600,0,1,.000,0,0,,1,0,1,2,1,0,2,1,12,8.1,-12
5,5,1999-11-10,22-056,ATL,@,VAN,L (-5),0,9:16,0,4,.000,0,0,,3,4,.750,0,1,1,0,0,0,2,1,3,-2.3,-9
6,6,1999-11-13,22-059,ATL,@,POR,L (-36),0,21:49,7,14,.500,3,5,.600,0,2,.000,0,2,2,3,2,0,3,2,17,10.1,-29
7,7,1999-11-14,22-060,ATL,@,LAL,L (-5),0,21:31,2,7,.286,2,4,.500,0,0,,0,3,3,2,2,2,2,3,6,4.4,+19
8,8,1999-11-16,22-062,ATL,,CHH,W (+5),0,34:50,7,14,.500,2,4,.500,6,8,.750,1,2,3,5,4,0,2,2,22,20.2,+19
9,9,1999-11-19,22-065,ATL,@,IND,W (+6),0,18:18,1,4,.250,0,2,.000,2,2,1.000,1,1,2,1,1,0,0,0,4,4.3,-4
10,10,1999-11-20,22-066,ATL,,ORL,L (-4),0,15:29,3,3,1.000,1,1,1.000,0,0,,0,2,2,3,0,1,1,2,7,7.7,-9
11,11,1999-11-23,22-069,ATL,,MIA,W (+7),0,26:39,9,11,.818,2,3,.667,1,2,.500,0,2,2,3,2,0,3,0,21,18.2,-3
12,12,1999-11-24,22-070,ATL,@,MIA,L (-2),0,22:22,2,5,.400,1,1,1.000,2,2,1.000,0,3,3,3,2,0,3,2,7,5.5,+4
13,13,1999-11-26,22-072,ATL,@,DET,L (-2),0,10:35,1,5,.200,1,2,.500,0,0,,0,1,1,2,1,0,1,0,3,1.6,-5
14,14,1999-11-27,22-073,ATL,,BOS,W (+10),0,26:59,2,7,.286,0,4,.000,0,0,,1,1,2,1,0,0,1,1,4,0.2,+18
15,15,1999-11-30,22-076,ATL,@,TOR,W (+18),0,19:31,2,5,.400,0,2,.000,3,4,.750,0,2,2,3,1,0,1,1,7,6.2,+6
16,16,1999-12-02,22-078,ATL,,SAC,W (+10),0,20:38,3,7,.429,0,0,,0,0,,0,6,6,4,1,0,0,2,6,7.1,+10
17,17,1999-12-04,22-080,ATL,,DET,W (+2),0,10:48,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,3,1,4,0.3,-1
18,18,1999-12-08,22-084,ATL,,LAC,W (+18),0,19:51,4,10,.400,0,0,,1,2,.500,0,3,3,3,0,1,2,0,9,4.9,+12
19,19,1999-12-10,22-086,ATL,,GSW,L (-8),0,34:50,5,13,.385,3,7,.429,3,4,.750,0,3,3,6,2,0,3,1,16,12.2,+1
20,20,1999-12-11,22-087,ATL,@,CLE,L (-11),0,19:07,3,8,.375,1,5,.200,1,2,.500,0,2,2,3,0,1,0,4,8,5.0,-3
21,21,1999-12-14,22-090,ATL,,MIN,W (+11),0,25:09,1,7,.143,0,2,.000,4,4,1.000,1,5,6,6,1,0,1,0,6,7.9,+8
22,22,1999-12-16,22-092,ATL,,LAL,L (-7),0,25:47,2,10,.200,1,5,.200,2,2,1.000,0,5,5,3,2,0,0,1,7,6.0,-7
23,23,1999-12-18,22-094,ATL,,UTA,L (-10),0,25:29,3,9,.333,0,2,.000,5,5,1.000,1,2,3,2,0,0,2,3,11,5.4,+2
24,24,1999-12-19,22-095,ATL,@,NJN,L (-8),0,21:13,5,9,.556,0,0,,2,2,1.000,1,0,1,0,0,0,3,2,12,4.6,+4
25,25,1999-12-22,22-098,ATL,@,BOS,L (-17),0,14:08,1,4,.250,1,1,1.000,4,4,1.000,0,1,1,4,2,0,1,1,7,8.3,-3
26,26,1999-12-23,22-099,ATL,,CLE,W (+18),0,24:00,3,7,.429,0,2,.000,0,2,.000,1,1,2,2,1,0,2,1,6,2.5,+15
27,27,1999-12-27,22-103,ATL,@,CHH,L (-4),0,23:20,4,9,.444,1,4,.250,3,4,.750,0,3,3,3,3,0,3,3,12,8.7,+3
28,28,1999-12-29,22-105,ATL,,IND,L (-27),0,28:55,2,9,.222,0,5,.000,2,2,1.000,1,2,3,7,2,0,1,3,6,6.5,-12
29,29,1999-12-30,22-106,ATL,@,DET,L (-1),0,16:14,1,3,.333,0,0,,2,2,1.000,0,2,2,4,0,0,1,1,4,4.3,-18
30,30,2000-01-04,22-111,ATL,@,MIL,L (-3),0,5:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-8
31,31,2000-01-05,22-112,ATL,,DET,L (-12),0,13:28,4,4,1.000,1,1,1.000,2,2,1.000,0,1,1,1,0,0,2,2,11,8.0,-2
32,32,2000-01-07,22-114,ATL,,TOR,W (+8),0,5:00,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,1,0,0.3,-4
33,,2000-01-08,22-115,ATL,@,DAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,33,2000-01-14,22-121,ATL,@,CHI,W (+6),0,19:53,1,6,.167,0,0,,2,2,1.000,0,1,1,6,3,0,3,2,4,3.9,-10
35,34,2000-01-15,22-122,ATL,,PHI,L (-3),0,28:15,4,12,.333,3,7,.429,3,3,1.000,0,1,1,6,2,1,2,4,14,10.8,+8
36,35,2000-01-17,22-124,ATL,,MIL,L (-6),0,26:47,5,7,.714,0,0,,3,5,.600,0,2,2,8,2,0,1,3,13,15.3,+12
37,36,2000-01-19,22-126,ATL,@,PHI,L (-18),0,17:29,0,4,.000,0,1,.000,2,2,1.000,0,1,1,5,1,0,1,2,2,2.2,-15
38,37,2000-01-21,22-128,ATL,@,MIA,L (-22),0,16:26,3,9,.333,0,2,.000,0,0,,2,0,2,1,2,0,1,1,6,3.6,-8
39,38,2000-01-22,22-129,ATL,,WAS,W (+18),0,21:22,2,9,.222,0,4,.000,2,2,1.000,0,1,1,4,1,0,2,1,6,2.2,+8
40,39,2000-01-25,22-132,ATL,,CHI,W (+7),0,24:42,3,8,.375,0,1,.000,0,0,,0,1,1,3,0,0,1,0,6,3.0,+2
41,40,2000-01-28,22-135,ATL,,NYK,W (+2),0,20:36,4,6,.667,2,2,1.000,0,0,,2,1,3,4,0,0,1,1,10,10.5,+1
42,41,2000-01-29,22-136,ATL,@,ORL,L (-16),0,15:36,2,6,.333,0,3,.000,1,2,.500,0,2,2,1,0,0,3,3,5,-1.7,-14
43,42,2000-02-02,22-140,ATL,@,NJN,W (+8),0,6:38,0,2,.000,0,0,,1,2,.500,0,0,0,2,2,0,1,0,1,1.6,-5
44,43,2000-02-04,22-142,ATL,,POR,L (-7),0,4:58,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-3
45,44,2000-02-05,22-143,ATL,@,CLE,W (+8),0,10:47,0,4,.000,0,2,.000,0,0,,1,3,4,2,0,1,0,1,0,0.5,-2
46,45,2000-02-08,22-146,ATL,@,TOR,L (-21),0,29:14,1,4,.250,0,1,.000,4,4,1.000,0,2,2,3,0,0,4,0,6,2.3,-9
47,46,2000-02-09,22-147,ATL,,HOU,W (+16),0,23:53,5,9,.556,0,0,,0,0,,0,3,3,5,0,0,1,1,10,8.7,-6
48,47,2000-02-15,22-153,ATL,,NJN,W (+17),0,9:49,1,3,.333,0,0,,0,0,,0,1,1,1,1,0,4,2,2,-2.5,-10
49,48,2000-02-18,22-156,ATL,@,PHO,L (-12),0,21:40,2,4,.500,0,1,.000,2,6,.333,1,1,2,1,0,0,3,1,6,0.7,-13
50,49,2000-02-21,22-159,ATL,@,UTA,L (-2),0,18:42,2,7,.286,0,2,.000,0,0,,0,0,0,5,0,0,1,1,4,2.0,+7
51,50,2000-02-23,22-161,ATL,@,SAC,W (+6),0,11:33,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,0,1,4,3.6,-8
52,51,2000-02-25,22-163,ATL,@,SEA,W (+8),0,14:33,1,4,.250,0,1,.000,0,0,,0,1,1,3,0,0,1,2,2,0.2,+9
53,52,2000-02-26,22-164,ATL,@,LAC,L (-1),0,10:51,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,1,4,2.6,-7
54,53,2000-02-28,22-166,ATL,@,GSW,L (-5),0,7:28,0,1,.000,0,0,,0,0,,1,1,2,1,1,0,1,2,0,0.2,+3
55,54,2000-03-01,22-168,ATL,,WAS,L (-19),0,26:49,0,7,.000,0,3,.000,0,0,,0,4,4,5,2,1,1,1,0,1.1,+2
56,55,2000-03-03,22-170,ATL,,NYK,W (+13),1,38:44,7,11,.636,1,2,.500,2,2,1.000,1,3,4,5,1,0,3,3,17,14.0,+10
57,56,2000-03-04,22-171,ATL,,SEA,L (-12),1,31:05,3,8,.375,0,1,.000,3,4,.750,0,1,1,7,2,0,2,2,9,8.6,-1
58,57,2000-03-06,22-173,ATL,@,MIL,L (-33),1,36:49,5,11,.455,2,6,.333,0,0,,0,0,0,11,6,0,2,2,12,17.2,-25
59,58,2000-03-07,22-174,ATL,@,CHI,L (-7),1,39:11,6,11,.545,0,3,.000,0,0,,0,4,4,9,0,0,2,1,12,11.8,-6
60,59,2000-03-09,22-176,ATL,,SAS,L (-26),1,34:09,5,10,.500,1,1,1.000,2,2,1.000,0,2,2,10,2,0,3,1,13,14.2,-14
61,60,2000-03-11,22-178,ATL,,VAN,W (+5),1,34:51,6,11,.545,0,1,.000,3,4,.750,0,2,2,12,0,0,3,4,15,13.7,+14
62,61,2000-03-14,22-181,ATL,@,SAS,L (-15),1,32:15,3,8,.375,0,2,.000,2,2,1.000,0,1,1,9,2,1,3,3,8,8.7,-13
63,62,2000-03-15,22-182,ATL,,IND,L (-6),1,23:39,1,6,.167,1,2,.500,2,2,1.000,0,2,2,4,1,0,2,3,5,2.4,-10
64,63,2000-03-17,22-184,ATL,,BOS,L (-24),1,28:07,1,7,.143,0,1,.000,0,0,,0,3,3,5,2,0,1,1,2,2.5,-25
65,64,2000-03-19,22-186,ATL,,DAL,L (-4),1,37:29,3,13,.231,1,5,.200,0,0,,2,3,5,7,1,0,1,5,7,4.3,-8
66,65,2000-03-21,22-188,ATL,,MIA,W (+5),1,40:01,5,14,.357,0,2,.000,1,2,.500,0,2,2,11,4,0,2,1,11,12.7,+2
67,66,2000-03-22,22-189,ATL,@,ORL,L (-13),1,24:18,6,11,.545,0,4,.000,0,0,,0,2,2,0,0,0,2,3,12,4.1,-18
68,67,2000-03-24,22-191,ATL,@,NYK,L (-12),1,34:43,7,12,.583,0,0,,3,3,1.000,0,3,3,8,0,0,1,3,17,15.7,-5
69,68,2000-03-25,22-192,ATL,,CHH,L (-16),1,26:33,3,10,.300,0,0,,0,0,,0,1,1,6,0,0,3,2,6,0.9,+2
70,69,2000-03-28,22-195,ATL,,DEN,W (+5),1,30:32,5,6,.833,0,0,,2,2,1.000,0,3,3,6,1,0,1,3,12,13.7,-1
71,70,2000-03-30,22-197,ATL,,PHO,L (-44),1,24:01,4,6,.667,1,1,1.000,2,2,1.000,0,1,1,9,2,0,6,1,11,10.6,-20
72,71,2000-04-01,22-199,ATL,@,HOU,L (-22),1,32:16,6,12,.500,2,3,.667,0,0,,0,1,1,10,2,0,2,2,14,14.5,-9
73,72,2000-04-04,22-202,ATL,@,MIN,L (-10),1,30:39,5,11,.455,1,3,.333,0,0,,0,0,0,3,0,0,4,1,11,3.0,+4
74,73,2000-04-05,22-203,ATL,@,PHI,L (-21),1,34:53,4,10,.400,0,2,.000,3,4,.750,0,0,0,2,2,0,2,4,11,5.0,-25
75,74,2000-04-07,22-205,ATL,,TOR,L (-20),1,28:39,4,8,.500,1,2,.500,5,6,.833,0,2,2,7,0,1,2,0,14,13.8,-10
76,75,2000-04-08,22-206,ATL,@,WAS,L (-10),1,22:55,2,10,.200,0,0,,0,0,,0,0,0,1,0,0,4,1,4,-5.9,-13
77,76,2000-04-10,22-208,ATL,@,BOS,L (-5),1,23:15,3,7,.429,1,2,.500,0,0,,0,0,0,4,1,0,2,3,7,3.9,-1
78,77,2000-04-12,22-210,ATL,@,CHH,L (-32),1,31:44,3,8,.375,0,2,.000,1,2,.500,0,3,3,8,3,0,5,1,7,6.3,-10
79,78,2000-04-14,22-212,ATL,,PHI,L (-12),1,39:57,9,14,.643,2,3,.667,0,0,,1,2,3,9,2,0,1,1,20,22.0,-6
80,79,2000-04-16,22-214,ATL,,CLE,W (+3),1,31:04,1,7,.143,1,2,.500,0,0,,1,1,2,11,0,0,2,1,3,4.8,+3
81,80,2000-04-18,22-216,ATL,,NJN,W (+2),1,38:31,6,11,.545,2,3,.667,2,2,1.000,1,7,8,9,1,0,6,3,16,13.6,+10
82,81,2000-04-19,22-217,ATL,@,IND,L (-19),1,28:20,4,12,.333,0,2,.000,0,0,,1,3,4,6,1,0,0,0,8,8.0,-13
1,1,2000-10-31,23-046,ATL,,CHH,L (-24),1,25:25,2,7,.286,0,2,.000,0,0,,0,1,1,2,1,0,3,3,4,-1.6,-21
2,2,2000-11-02,23-048,ATL,@,NYK,L (-25),1,25:16,1,7,.143,1,2,.500,0,0,,2,6,8,5,0,0,4,1,3,0.8,-14
3,3,2000-11-04,23-050,ATL,,ORL,L (-3),1,28:56,3,9,.333,0,2,.000,1,1,1.000,3,1,4,9,3,0,3,4,7,9.0,+4
4,4,2000-11-06,23-052,ATL,@,VAN,L (-10),1,32:29,2,11,.182,1,3,.333,0,0,,1,3,4,6,1,0,4,6,5,-1.5,-6
5,5,2000-11-07,23-053,ATL,@,POR,L (-9),1,35:33,7,9,.778,0,1,.000,7,8,.875,1,2,3,6,2,1,3,4,21,20.7,-7
6,6,2000-11-09,23-055,ATL,@,PHO,L (-9),1,36:58,3,10,.300,1,3,.333,0,0,,0,2,2,8,2,0,3,2,7,5.6,-4
7,7,2000-11-10,23-056,ATL,@,LAC,L (-9),1,21:37,4,6,.667,1,1,1.000,1,1,1.000,0,1,1,1,0,0,1,2,10,6.6,-8
8,8,2000-11-14,23-060,ATL,,POR,W (+2),0,22:39,5,9,.556,0,2,.000,1,2,.500,0,1,1,6,1,1,2,5,11,8.5,-1
9,9,2000-11-15,23-061,ATL,@,MIL,L (-10),0,15:42,3,7,.429,1,2,.500,0,0,,0,2,2,3,0,1,4,0,7,2.7,-8
10,10,2000-11-17,23-063,ATL,@,BOS,L (-7),0,21:58,6,6,1.000,1,1,1.000,2,2,1.000,0,1,1,4,0,0,1,2,15,14.5,+1
11,11,2000-11-18,23-064,ATL,,MIN,L (-10),0,21:30,3,8,.375,1,3,.333,4,6,.667,1,2,3,2,0,0,3,4,11,3.9,-16
12,12,2000-11-22,23-068,ATL,,NYK,W (+4),0,17:55,2,8,.250,0,3,.000,1,2,.500,1,1,2,2,1,0,3,0,5,0.2,0
13,13,2000-11-24,23-070,ATL,,PHI,L (-9),1,43:14,6,17,.353,1,5,.200,0,0,,0,3,3,8,5,0,4,3,13,9.8,-5
14,14,2000-11-25,23-071,ATL,@,ORL,L (-22),1,41:02,7,14,.500,0,3,.000,7,8,.875,0,1,1,7,1,1,1,3,21,18.3,-9
15,15,2000-11-28,23-074,ATL,@,WAS,W (+27),1,42:38,3,13,.231,0,1,.000,7,9,.778,0,3,3,7,0,0,2,1,13,7.7,+30
16,16,2000-11-30,23-076,ATL,,CHI,L (-9),1,41:15,8,21,.381,0,1,.000,6,7,.857,1,2,3,4,2,0,4,0,22,12.2,-6
17,17,2000-12-02,23-078,ATL,,MIL,W (+7),1,42:31,10,16,.625,0,1,.000,10,12,.833,0,2,2,5,2,0,2,2,30,25.3,+17
18,18,2000-12-05,23-081,ATL,,MIA,L (-8),1,40:06,9,19,.474,1,1,1.000,4,5,.800,0,2,2,9,3,0,1,4,23,20.2,+1
19,19,2000-12-08,23-084,ATL,@,MIA,L (-4),1,40:25,6,14,.429,2,2,1.000,3,4,.750,1,3,4,2,0,0,7,5,17,3.2,+5
20,20,2000-12-09,23-085,ATL,@,CLE,L (-7),1,43:01,14,23,.609,0,1,.000,4,5,.800,1,2,3,2,0,1,4,4,32,18.9,-5
21,21,2000-12-12,23-088,ATL,,SAC,W (+8),1,41:27,12,19,.632,2,4,.500,12,12,1.000,1,4,5,5,1,0,5,4,38,29.3,+13
22,22,2000-12-13,23-089,ATL,@,DET,L (-23),1,34:11,7,17,.412,2,3,.667,1,2,.500,2,3,5,4,1,0,6,3,17,6.4,-22
23,23,2000-12-15,23-091,ATL,@,CHI,W (+11),1,41:36,6,18,.333,0,0,,5,7,.714,2,6,8,13,0,0,3,2,17,14.5,+10
24,24,2000-12-16,23-092,ATL,,NJN,L (-6),1,38:45,5,16,.313,1,1,1.000,2,2,1.000,0,4,4,5,0,0,2,3,13,5.3,-3
25,25,2000-12-19,23-095,ATL,,NYK,W (+10),1,43:17,6,15,.400,0,2,.000,5,5,1.000,0,4,4,9,1,1,6,3,17,10.9,+8
26,26,2000-12-22,23-098,ATL,@,TOR,W (+6),1,41:19,6,17,.353,1,1,1.000,6,6,1.000,1,2,3,8,1,1,0,2,19,17.3,+12
27,27,2000-12-23,23-099,ATL,,IND,W (+4),1,41:39,9,19,.474,0,2,.000,1,1,1.000,1,0,1,4,0,0,2,1,19,10.4,+5
28,28,2000-12-26,23-102,ATL,@,NJN,W (+5),1,43:03,6,22,.273,1,3,.333,5,7,.714,0,3,3,3,0,0,3,3,18,3.0,+10
29,29,2000-12-28,23-104,ATL,@,MIN,L (-7),1,40:17,11,19,.579,1,2,.500,8,9,.889,2,4,6,4,1,0,2,2,31,25.3,-5
30,30,2000-12-29,23-105,ATL,,CLE,L (-12),1,37:24,12,18,.667,1,2,.500,3,5,.600,0,1,1,2,2,0,4,3,28,17.9,+1
31,31,2001-01-02,23-109,ATL,,BOS,W (+11),1,45:15,12,16,.750,0,0,,8,10,.800,0,3,3,6,3,0,3,2,32,29.1,+10
32,32,2001-01-03,23-110,ATL,@,PHI,L (-18),1,31:50,7,15,.467,1,2,.500,2,2,1.000,1,2,3,3,0,0,4,1,17,8.3,-27
33,33,2001-01-06,23-113,ATL,,ORL,W (+1),1,47:34,8,21,.381,1,3,.333,4,5,.800,0,4,4,5,1,0,3,4,21,10.2,0
34,34,2001-01-09,23-116,ATL,,SEA,L (-9),1,41:20,10,24,.417,3,6,.500,4,4,1.000,1,4,5,5,0,0,3,2,27,15.8,-3
35,35,2001-01-11,23-118,ATL,,GSW,W (+11),1,36:16,7,17,.412,1,3,.333,2,2,1.000,1,1,2,6,1,0,4,4,17,8.5,+4
36,36,2001-01-13,23-120,ATL,,LAC,W (+20),1,41:16,8,19,.421,0,0,,2,2,1.000,0,4,4,8,2,0,4,1,18,12.3,+16
37,37,2001-01-15,23-122,ATL,,NJN,L (-6),1,44:18,10,20,.500,3,4,.750,9,9,1.000,0,4,4,1,3,0,3,1,32,23.5,-3
38,38,2001-01-18,23-125,ATL,@,IND,L (-8),1,43:51,7,22,.318,0,2,.000,3,3,1.000,0,3,3,5,2,0,3,5,17,5.8,-11
39,39,2001-01-21,23-128,ATL,@,WAS,L (-4),1,34:45,6,11,.545,1,1,1.000,3,4,.750,0,0,0,4,1,0,1,4,16,11.5,+3
40,40,2001-01-23,23-130,ATL,@,BOS,L (-1),1,42:03,3,13,.231,0,2,.000,2,2,1.000,0,2,2,4,0,0,5,2,8,-2.3,0
41,41,2001-01-26,23-133,ATL,,WAS,L (-7),1,41:47,11,20,.550,4,6,.667,5,6,.833,1,1,2,10,1,0,2,0,31,28.0,+4
42,42,2001-01-27,23-134,ATL,@,CLE,W (+11),1,37:04,9,19,.474,1,1,1.000,1,2,.500,0,3,3,4,2,0,6,2,20,8.8,+6
43,43,2001-01-29,23-136,ATL,,PHO,L (-13),1,41:43,10,20,.500,0,0,,2,2,1.000,0,5,5,8,4,0,6,1,22,16.7,-10
44,44,2001-01-31,23-138,ATL,,TOR,W (+5),1,41:30,5,22,.227,0,2,.000,6,6,1.000,0,4,4,5,0,0,3,2,16,3.5,+1
45,45,2001-02-02,23-140,ATL,,MIA,L (-11),1,42:26,13,27,.481,0,1,.000,5,7,.714,0,4,4,7,2,0,2,3,31,21.4,-9
46,46,2001-02-03,23-141,ATL,@,ORL,L (-12),1,42:45,8,16,.500,2,4,.500,4,4,1.000,0,6,6,4,2,0,4,2,22,15.8,-13
47,47,2001-02-05,23-143,ATL,,DAL,L (-10),1,38:37,5,17,.294,1,4,.250,8,9,.889,1,2,3,7,3,0,1,3,19,15.7,+5
48,48,2001-02-06,23-144,ATL,@,NJN,L (-6),1,29:04,7,17,.412,1,3,.333,0,2,.000,2,2,4,0,1,0,0,2,15,7.3,-11
49,49,2001-02-08,23-146,ATL,@,CHH,L (-17),1,38:23,9,20,.450,1,4,.250,3,4,.750,0,3,3,2,1,0,4,1,22,10.1,-16
50,50,2001-02-13,23-151,ATL,@,CHI,L (-4),1,40:55,9,23,.391,1,4,.250,3,4,.750,0,4,4,5,2,0,2,0,22,13.8,-8
51,51,2001-02-14,23-152,ATL,,MIL,L (-4),1,46:46,11,22,.500,5,7,.714,8,9,.889,0,4,4,3,1,0,2,3,35,24.7,0
52,52,2001-02-17,23-155,ATL,@,SEA,W (+7),1,42:29,11,23,.478,3,4,.750,3,3,1.000,0,4,4,6,1,0,3,3,28,18.5,+14
53,53,2001-02-18,23-156,ATL,@,GSW,W (+7),1,40:59,13,21,.619,3,5,.600,9,9,1.000,0,3,3,5,1,1,5,3,38,28.4,+11
54,54,2001-02-20,23-158,ATL,@,SAC,L (-14),1,40:20,5,15,.333,0,3,.000,6,8,.750,1,1,2,1,1,1,4,0,16,6.1,-12
55,55,2001-02-23,23-161,ATL,@,LAL,L (-7),1,42:51,11,23,.478,2,6,.333,1,1,1.000,1,3,4,4,1,1,5,3,25,13.2,+2
56,56,2001-02-24,23-162,ATL,@,DEN,L (-3),1,43:36,6,17,.353,2,5,.400,8,8,1.000,0,4,4,7,1,0,3,3,22,15.4,-1
57,57,2001-02-26,23-164,ATL,@,UTA,L (-17),1,37:14,8,18,.444,2,5,.400,4,5,.800,0,4,4,5,0,0,6,3,22,9.7,-16
58,58,2001-02-28,23-166,ATL,,TOR,L (-7),1,42:25,8,20,.400,4,8,.500,2,2,1.000,0,2,2,3,5,0,4,2,22,14.1,-11
59,59,2001-03-02,23-168,ATL,,CHH,L (-6),1,42:34,10,23,.435,3,7,.429,3,4,.750,0,6,6,7,1,0,1,3,26,19.0,-3
60,60,2001-03-03,23-169,ATL,@,SAS,L (-29),1,23:18,2,9,.222,1,4,.250,4,4,1.000,0,2,2,2,0,0,1,5,9,2.5,-29
