Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-12-26,21-232,CHA,,MIL,W (+1),0,20:37,3,10,.300,0,2,.000,7,7,1.000,2,5,7,3,1,0,0,1,13,12.8,+5
2,2,2011-12-28,21-234,CHA,,MIA,L (-1),0,20:03,6,9,.667,1,2,.500,1,2,.500,0,1,1,3,1,0,3,1,14,9.7,-6
3,3,2011-12-30,21-236,CHA,,ORL,L (-21),0,17:09,1,9,.111,0,3,.000,0,0,,0,1,1,4,0,0,1,1,2,-2.2,-10
4,4,2012-01-01,21-238,CHA,@,MIA,L (-39),0,24:20,6,13,.462,2,4,.500,3,5,.600,0,3,3,4,1,0,1,1,17,12.8,-18
5,5,2012-01-03,21-240,CHA,@,CLE,L (-14),0,12:41,1,6,.167,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-1.8,-8
6,6,2012-01-04,21-241,CHA,@,NYK,W (+8),0,15:36,3,8,.375,1,2,.500,0,0,,0,2,2,5,1,0,2,0,7,5.7,+3
7,7,2012-01-06,21-243,CHA,,ATL,L (-6),0,27:40,6,10,.600,3,5,.600,4,6,.667,1,2,3,2,1,0,2,2,19,14.5,-11
8,8,2012-01-07,21-244,CHA,@,IND,L (-22),0,17:51,3,10,.300,0,3,.000,0,0,,1,1,2,3,0,1,0,0,6,4.0,-13
9,9,2012-01-09,21-246,CHA,@,NYK,L (-4),0,16:16,2,9,.222,1,2,.500,5,7,.714,0,0,0,3,1,0,4,2,10,2.0,-2
10,10,2012-01-10,21-247,CHA,,HOU,L (-12),0,31:16,4,13,.308,0,3,.000,1,1,1.000,2,6,8,3,1,0,3,2,9,4.0,+1
11,11,2012-01-12,21-249,CHA,@,ATL,L (-30),0,22:06,2,9,.222,1,3,.333,1,2,.500,0,3,3,2,0,0,1,1,6,1.0,-18
12,12,2012-01-13,21-250,CHA,,DET,L (-17),0,22:40,6,8,.750,1,2,.500,3,4,.750,1,1,2,2,2,0,2,0,16,14.8,-11
13,13,2012-01-14,21-251,CHA,,GSW,W (+12),1,39:24,8,15,.533,2,4,.500,5,6,.833,1,3,4,5,2,1,0,3,23,21.9,+10
14,14,2012-01-16,21-253,CHA,,CLE,L (-8),1,37:35,6,21,.286,1,4,.250,1,2,.500,0,5,5,4,4,2,2,2,14,8.2,-21
15,15,2012-01-17,21-254,CHA,@,ORL,L (-7),1,38:00,6,13,.462,3,7,.429,0,0,,0,4,4,6,2,0,4,3,15,10.5,+2
16,16,2012-01-21,21-258,CHA,@,CHI,L (-6),1,24:52,1,5,.200,0,1,.000,2,2,1.000,0,5,5,2,1,1,4,1,4,1.1,-17
17,17,2012-01-22,21-259,CHA,@,NJN,L (-10),1,32:28,5,13,.385,1,3,.333,5,7,.714,0,6,6,3,1,0,3,3,16,8.8,-8
18,18,2012-01-24,21-261,CHA,,NYK,L (-33),1,35:41,7,17,.412,2,4,.500,6,6,1.000,0,5,5,2,0,2,4,1,22,12.8,-23
19,19,2012-01-25,21-262,CHA,@,WAS,L (-17),1,37:55,4,19,.211,0,4,.000,0,0,,0,6,6,4,1,0,3,0,8,-1.1,-17
20,20,2012-01-27,21-264,CHA,@,PHI,L (-17),1,32:19,5,14,.357,2,5,.400,2,3,.667,1,7,8,2,2,1,3,0,14,9.7,-16
21,21,2012-01-28,21-265,CHA,,WAS,L (-3),1,42:51,8,18,.444,2,4,.500,2,4,.500,3,7,10,11,1,2,4,0,20,20.1,+3
22,22,2012-01-31,21-268,CHA,@,LAL,L (-33),1,34:13,4,11,.364,1,2,.500,3,4,.750,0,6,6,6,1,0,1,0,12,11.5,-17
23,23,2012-02-01,21-269,CHA,@,POR,L (-44),1,29:01,1,11,.091,0,2,.000,2,2,1.000,1,1,2,3,1,0,0,3,4,-0.4,-36
24,24,2012-02-04,21-272,CHA,@,PHO,L (-6),1,41:26,7,16,.438,4,5,.800,4,4,1.000,1,2,3,4,1,0,1,1,22,17.3,+3
25,25,2012-02-07,21-275,CHA,@,BOS,L (-10),1,39:08,5,13,.385,1,4,.250,5,5,1.000,2,5,7,2,0,0,4,2,16,8.4,-14
26,26,2012-02-10,21-278,CHA,,CHI,L (-31),1,31:25,2,11,.182,1,3,.333,4,4,1.000,0,4,4,5,0,0,0,2,9,6.0,-21
27,27,2012-02-11,21-279,CHA,,LAC,L (-25),1,33:30,4,13,.308,0,2,.000,11,12,.917,0,1,1,4,1,0,0,1,19,14.8,-25
28,28,2012-02-13,21-281,CHA,,PHI,L (-9),1,39:12,6,15,.400,3,8,.375,6,9,.667,0,3,3,5,0,0,1,1,21,14.7,-4
29,29,2012-02-15,21-283,CHA,@,MIN,L (-12),1,31:41,9,17,.529,3,7,.429,0,1,.000,0,6,6,2,1,0,1,1,21,15.1,-20
30,30,2012-02-17,21-285,CHA,@,TOR,W (+7),0,30:08,5,15,.333,1,4,.250,3,3,1.000,0,3,3,8,2,0,1,3,14,11.8,+14
31,31,2012-02-19,21-287,CHA,@,IND,L (-35),0,25:35,6,13,.462,1,6,.167,2,2,1.000,0,1,1,5,2,0,1,0,15,13.1,-5
32,32,2012-02-22,21-290,CHA,,IND,L (-14),0,29:14,4,11,.364,2,5,.400,4,5,.800,0,2,2,5,2,0,1,2,14,11.8,-23
33,33,2012-02-29,21-297,CHA,@,DET,L (-15),0,19:04,2,8,.250,0,0,,2,2,1.000,1,2,3,5,2,0,1,1,6,6.6,-11
34,34,2012-03-02,21-299,CHA,@,SAS,L (-30),0,24:00,4,11,.364,0,2,.000,0,1,.000,2,1,3,5,2,0,3,2,8,4.9,-16
35,35,2012-03-04,21-301,CHA,,NJN,L (-3),0,20:43,3,8,.375,0,3,.000,8,8,1.000,0,1,1,2,0,1,0,1,14,11.6,-1
36,36,2012-03-06,21-303,CHA,,ORL,W (+16),0,29:07,5,12,.417,0,2,.000,0,0,,0,0,0,8,1,0,2,1,10,7.8,+19
37,37,2012-03-07,21-304,CHA,,UTA,L (-6),0,28:02,7,12,.583,1,2,.500,4,5,.800,0,2,2,5,3,1,5,0,19,15.8,+8
38,38,2012-03-09,21-306,CHA,,NJN,L (-9),0,16:04,1,6,.167,0,2,.000,1,2,.500,0,2,2,1,0,1,0,1,3,0.4,-1
39,39,2012-03-10,21-307,CHA,@,OKC,L (-27),0,21:45,2,7,.286,0,0,,0,0,,0,1,1,6,0,0,2,0,4,2.4,-16
