Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-12-25,21-320,GSW,,LAC,L (-19),0,19:00,2,8,.250,1,3,.333,2,2,1.000,1,2,3,1,0,0,2,3,7,1.0,-10
2,2,2011-12-26,21-321,GSW,,CHI,W (+8),0,10:41,0,2,.000,0,1,.000,0,0,,1,2,3,2,0,0,0,1,0,0.9,+8
3,3,2011-12-28,21-323,GSW,,NYK,W (+14),0,7:30,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-0.4,+1
4,4,2011-12-31,21-326,GSW,,PHI,L (-28),1,26:26,1,3,.333,1,2,.500,0,0,,0,2,2,3,1,0,3,4,3,0.4,-13
5,5,2012-01-02,21-328,GSW,@,PHO,L (-11),0,13:54,2,5,.400,2,3,.667,0,0,,1,1,2,0,0,0,2,2,6,1.5,-7
6,6,2012-01-04,21-330,GSW,@,SAS,L (-6),0,24:41,4,10,.400,2,6,.333,0,0,,0,3,3,0,0,0,0,4,10,3.9,-11
7,7,2012-01-06,21-332,GSW,@,LAL,L (-7),0,21:52,6,8,.750,2,3,.667,0,0,,1,0,1,1,0,0,1,2,14,10.4,+6
8,8,2012-01-07,21-333,GSW,,UTA,L (-1),0,22:30,1,6,.167,0,1,.000,0,0,,0,0,0,3,1,0,2,2,2,-1.5,+11
9,9,2012-01-10,21-336,GSW,,MIA,W (+5),0,12:51,2,6,.333,0,2,.000,0,0,,1,2,3,2,0,1,0,3,4,2.8,+3
10,10,2012-01-12,21-338,GSW,,ORL,L (-8),0,23:23,5,8,.625,4,5,.800,0,0,,0,3,3,1,1,0,2,5,14,9.0,-16
11,11,2012-01-14,21-340,GSW,@,CHA,L (-12),0,16:02,2,8,.250,0,5,.000,0,0,,0,1,1,1,1,0,4,4,4,-4.4,0
12,12,2012-01-15,21-341,GSW,@,DET,W (+8),0,10:52,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,0,1,0,1.6,-1
13,13,2012-01-17,21-343,GSW,@,CLE,W (+10),0,16:33,5,9,.556,4,4,1.000,0,0,,0,1,1,2,1,0,2,2,14,9.6,+3
14,14,2012-01-18,21-344,GSW,@,NJN,L (-7),0,22:58,5,9,.556,2,3,.667,0,0,,0,0,0,3,0,1,0,3,12,9.3,-11
