Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2000-10-31,20-255,ORL,,WAS,W (+11),0,22:19,2,4,.500,1,2,.500,0,1,.000,1,1,2,0,3,0,1,3,5,4.4,+14
2,2,2000-11-01,20-256,ORL,@,MIA,L (-26),1,32:42,1,8,.125,0,2,.000,3,5,.600,2,2,4,1,1,0,3,4,5,-1.9,-22
3,3,2000-11-03,20-258,ORL,,PHI,L (-7),0,14:55,1,2,.500,0,1,.000,0,0,,1,3,4,0,0,0,1,1,2,1.2,+6
4,4,2000-11-04,20-259,ORL,@,ATL,W (+3),1,36:51,6,12,.500,1,5,.200,6,7,.857,3,5,8,1,0,1,3,4,19,13.0,+2
5,5,2000-11-06,20-261,ORL,,SEA,W (+11),1,31:58,3,9,.333,2,6,.333,2,2,1.000,1,5,6,2,1,0,2,4,10,5.9,+13
6,6,2000-11-08,20-263,ORL,,CHH,L (-6),1,26:57,4,11,.364,3,5,.600,0,1,.000,1,4,5,0,1,0,1,6,11,4.0,-10
7,7,2000-11-09,20-264,ORL,@,CHI,L (-5),1,9:16,2,5,.400,0,1,.000,0,0,,0,1,1,1,0,0,0,4,4,0.7,-8
8,8,2000-11-12,20-267,ORL,@,GSW,W (+6),0,16:22,2,5,.400,1,2,.500,6,6,1.000,0,2,2,2,2,0,0,0,11,12.3,+4
9,9,2000-11-14,20-269,ORL,@,SAC,L (-14),0,20:34,0,3,.000,0,1,.000,1,2,.500,1,2,3,2,1,0,0,2,1,1.4,-13
10,10,2000-11-16,20-271,ORL,@,UTA,L (-15),0,17:52,4,8,.500,1,3,.333,2,2,1.000,1,1,2,0,1,0,2,4,11,5.4,-8
11,11,2000-11-19,20-274,ORL,,POR,L (-8),0,10:45,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,1,2,1,-0.9,-5
12,12,2000-11-21,20-276,ORL,,NYK,L (-1),0,4:21,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-1
13,13,2000-11-24,20-279,ORL,@,BOS,L (-5),0,12:12,4,8,.500,1,3,.333,0,1,.000,0,1,1,0,0,0,0,3,9,3.7,+10
14,14,2000-11-25,20-280,ORL,,ATL,W (+22),1,29:26,9,19,.474,3,5,.600,2,3,.667,1,4,5,3,1,0,3,3,23,13.7,+18
15,15,2000-11-27,20-282,ORL,,MIL,L (-9),1,38:47,6,17,.353,2,8,.250,6,6,1.000,1,8,9,2,3,0,3,3,20,13.8,-12
16,16,2000-11-29,20-284,ORL,,UTA,L (-2),0,20:55,2,6,.333,1,2,.500,0,1,.000,0,0,0,2,0,0,0,1,5,2.2,-14
17,17,2000-12-01,20-286,ORL,,NJN,W (+3),0,13:20,0,1,.000,0,1,.000,0,2,.000,0,3,3,1,0,0,1,2,0,-1.7,-13
18,18,2000-12-02,20-287,ORL,@,NJN,W (+21),0,14:29,2,3,.667,0,1,.000,0,0,,0,1,1,2,1,0,1,2,4,3.6,+5
19,19,2000-12-05,20-290,ORL,,BOS,W (+3),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,-1
20,20,2000-12-07,20-292,ORL,,DEN,W (+10),0,26:39,6,14,.429,4,7,.571,3,4,.750,1,4,5,1,1,0,1,6,19,11.4,+4
21,21,2000-12-11,20-296,ORL,@,LAC,L (-12),0,19:50,4,8,.500,1,3,.333,1,1,1.000,0,3,3,0,0,1,0,2,10,6.8,-1
22,22,2000-12-12,20-297,ORL,@,SEA,L (-5),0,14:04,1,4,.250,1,2,.500,0,0,,0,1,1,0,0,0,1,2,3,-0.9,+8
23,23,2000-12-15,20-300,ORL,@,POR,L (-10),0,11:30,1,2,.500,1,2,.500,0,0,,0,0,0,2,1,0,1,1,3,3.0,+1
24,24,2000-12-17,20-302,ORL,@,VAN,W (+10),0,8:39,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,3,0,-1.6,-2
