Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2009-10-27,21-077,POR,,HOU,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
2,,2009-10-29,21-079,POR,,DEN,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,2009-10-31,21-081,POR,@,HOU,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
4,,2009-11-01,21-082,POR,@,OKC,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
5,,2009-11-03,21-084,POR,,ATL,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2009-11-06,21-087,POR,,SAS,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2009-11-08,21-089,POR,,MIN,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2009-11-10,21-091,POR,@,MEM,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2009-11-11,21-092,POR,@,MIN,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2009-11-13,21-094,POR,@,NOH,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2009-11-14,21-095,POR,@,CHA,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2009-11-16,21-097,POR,@,ATL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2009-11-18,21-099,POR,,DET,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2009-11-20,21-101,POR,@,GSW,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2009-11-21,21-102,POR,,MIN,W (+28),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2009-11-23,21-104,POR,,CHI,W (+24),Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2009-11-25,21-106,POR,,NJN,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2009-11-27,21-108,POR,,MEM,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2009-11-28,21-109,POR,@,UTA,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
20,,2009-12-01,21-112,POR,,MIA,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
21,,2009-12-05,21-116,POR,,HOU,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2009-12-07,21-118,POR,@,NYK,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2009-12-09,21-120,POR,@,IND,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2009-12-11,21-122,POR,@,CLE,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2009-12-12,21-123,POR,@,MIL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2009-12-15,21-126,POR,,SAC,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2009-12-17,21-128,POR,,PHO,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2009-12-19,21-130,POR,@,ORL,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2009-12-20,21-131,POR,@,MIA,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2009-12-22,21-133,POR,@,DAL,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2009-12-23,21-134,POR,@,SAS,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2009-12-25,21-136,POR,,DEN,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2009-12-28,21-139,POR,,PHI,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2010-01-02,21-144,POR,,GSW,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
35,1,2010-01-04,21-146,POR,@,LAC,L (-10),0,4:55,0,3,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-1.1,+5
36,,2010-01-05,21-147,POR,,MEM,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
37,,2010-01-08,21-150,POR,,LAL,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
38,,2010-01-10,21-152,POR,,CLE,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
39,,2010-01-13,21-155,POR,,MIL,W (+12),Not With Team,,,,,,,,,,,,,,,,,,,,,
40,,2010-01-15,21-157,POR,,ORL,W (+15),Not With Team,,,,,,,,,,,,,,,,,,,,,
41,,2010-01-18,21-160,POR,@,WAS,L (-5),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
42,,2010-01-20,21-162,POR,@,PHI,W (+8),Not With Team,,,,,,,,,,,,,,,,,,,,,
43,,2010-01-22,21-164,POR,@,BOS,L (-3),Not With Team,,,,,,,,,,,,,,,,,,,,,
44,,2010-01-23,21-165,POR,@,DET,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,,2010-01-25,21-167,POR,,NOH,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
46,,2010-01-27,21-169,POR,,UTA,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,,2010-01-29,21-171,POR,@,HOU,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
48,,2010-01-30,21-172,POR,@,DAL,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
