Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-02-05,21-115,BOS,,TOR,L (-11),1,39:16,7,14,.500,2,4,.500,3,6,.500,0,9,9,5,2,4,1,4,19,19.2,-10
2,2,1999-02-06,21-116,BOS,,CLE,W (+4),1,29:47,4,9,.444,1,1,1.000,10,12,.833,2,2,4,2,0,1,2,3,19,14.4,+5
3,3,1999-02-08,21-118,BOS,@,ORL,L (-17),1,32:22,5,14,.357,2,4,.500,0,0,,2,4,6,2,3,1,2,6,12,7.5,-21
4,4,1999-02-09,21-119,BOS,@,MIA,W (+7),1,28:12,9,16,.563,1,3,.333,0,1,.000,2,5,7,0,1,2,1,4,19,13.7,+13
5,5,1999-02-16,21-126,BOS,@,SAC,L (-3),1,35:40,7,16,.438,0,0,,5,6,.833,6,1,7,1,5,3,2,4,19,18.9,-2
6,6,1999-02-17,21-127,BOS,@,VAN,W (+2),1,48:31,9,21,.429,1,4,.250,7,10,.700,3,4,7,3,7,0,4,5,26,20.1,+11
7,7,1999-02-19,21-129,BOS,@,POR,L (-20),1,38:07,9,14,.643,2,3,.667,2,2,1.000,4,2,6,0,1,0,2,2,22,17.4,-17
8,8,1999-02-21,21-131,BOS,@,WAS,L (-11),1,30:39,6,15,.400,2,6,.333,10,14,.714,5,7,12,2,3,2,1,5,24,22.7,+5
9,9,1999-02-24,21-134,BOS,,ORL,W (+32),1,30:50,7,15,.467,3,5,.600,2,2,1.000,2,4,6,3,5,3,2,0,19,21.1,+31
10,10,1999-02-26,21-136,BOS,,NYK,W (+14),1,41:50,7,19,.368,5,11,.455,5,6,.833,2,5,7,3,3,0,3,4,24,16.5,+16
11,11,1999-02-27,21-137,BOS,@,NJN,W (+9),1,38:00,8,18,.444,1,6,.167,4,6,.667,3,4,7,5,0,0,5,4,21,11.0,+2
12,12,1999-03-01,21-139,BOS,,NJN,L (-2),1,40:19,8,16,.500,2,5,.400,2,4,.500,2,7,9,4,4,1,1,4,20,19.6,+1
13,13,1999-03-02,21-140,BOS,@,CLE,L (-17),1,25:14,0,11,.000,0,3,.000,2,2,1.000,3,0,3,4,3,1,0,4,2,1.3,-11
14,14,1999-03-05,21-143,BOS,,DEN,W (+8),1,31:53,4,9,.444,3,5,.600,6,8,.750,1,3,4,0,3,1,2,4,17,13.2,+17
15,15,1999-03-07,21-145,BOS,@,TOR,L (-13),1,33:07,3,11,.273,1,6,.167,0,0,,0,3,3,4,0,2,4,4,7,0.0,-5
16,16,1999-03-09,21-147,BOS,@,CHH,L (-18),1,9:56,0,2,.000,0,0,,0,0,,1,3,4,1,0,0,2,0,0,-1.1,0
17,,1999-03-11,21-149,BOS,@,ATL,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
18,,1999-03-12,21-150,BOS,@,DET,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
19,17,1999-03-14,21-152,BOS,@,IND,L (-3),1,24:38,5,8,.625,1,2,.500,4,5,.800,1,5,6,1,0,0,0,4,15,12.3,-4
20,18,1999-03-17,21-155,BOS,,LAC,W (+34),1,25:45,4,9,.444,1,1,1.000,3,5,.600,2,3,5,0,2,0,0,2,12,10.0,+3
21,19,1999-03-18,21-156,BOS,@,MIL,L (-16),1,20:12,3,6,.500,3,4,.750,0,0,,2,1,3,0,0,0,3,1,9,4.3,-22
22,20,1999-03-20,21-158,BOS,@,NYK,L (-18),0,12:47,1,2,.500,0,0,,0,0,,0,3,3,0,0,1,1,1,2,1.2,-9
23,21,1999-03-21,21-159,BOS,,CHI,L (-3),1,42:32,3,11,.273,2,5,.400,0,2,.000,4,4,8,3,3,2,1,2,8,9.4,-8
24,22,1999-03-23,21-161,BOS,@,CLE,L (-27),1,29:12,4,9,.444,0,1,.000,3,5,.600,3,1,4,2,1,2,4,2,11,6.9,-15
25,23,1999-03-24,21-162,BOS,,MIN,L (-19),1,35:39,3,15,.200,0,4,.000,0,0,,6,5,11,2,0,0,4,3,6,-1.4,-18
26,24,1999-03-26,21-164,BOS,@,PHI,W (+6),1,28:40,2,11,.182,0,1,.000,2,2,1.000,3,4,7,3,0,0,2,2,6,1.7,-4
27,25,1999-03-28,21-166,BOS,,IND,L (-8),1,37:04,5,11,.455,1,4,.250,7,10,.700,2,2,4,3,1,1,5,3,18,10.7,-11
28,26,1999-03-30,21-168,BOS,@,CHH,W (+10),1,36:03,7,12,.583,1,4,.250,4,5,.800,3,1,4,3,0,0,2,3,19,14.3,+2
29,27,1999-03-31,21-169,BOS,,DET,L (-15),1,33:01,8,13,.615,4,7,.571,0,0,,2,5,7,0,0,1,4,2,20,12.9,-16
30,28,1999-04-02,21-171,BOS,,MIL,L (-1),1,39:34,7,16,.438,5,7,.714,2,2,1.000,2,5,7,0,2,0,1,0,21,16.5,-9
31,29,1999-04-04,21-173,BOS,,NJN,L (-12),1,32:07,1,10,.100,1,5,.200,1,2,.500,2,9,11,1,1,0,4,3,4,-2.4,-9
32,30,1999-04-05,21-174,BOS,@,ORL,L (-7),1,32:32,9,18,.500,4,5,.800,1,2,.500,4,2,6,4,4,1,2,4,23,20.9,-14
33,31,1999-04-07,21-176,BOS,,WAS,W (+21),1,29:19,9,13,.692,2,4,.500,3,5,.600,3,5,8,3,0,1,2,2,23,20.3,+18
34,32,1999-04-08,21-177,BOS,@,TOR,W (+12),1,34:08,6,14,.429,0,1,.000,3,4,.750,5,2,7,2,1,1,1,4,15,11.8,+7
35,33,1999-04-09,21-178,BOS,,PHI,L (-16),1,30:30,9,17,.529,0,2,.000,4,4,1.000,9,4,13,3,0,1,2,5,22,20.0,-7
36,34,1999-04-11,21-180,BOS,,CHI,W (+6),1,32:54,5,12,.417,0,3,.000,0,2,.000,0,5,5,4,1,1,4,3,10,3.6,+3
37,35,1999-04-12,21-181,BOS,,CLE,W (+14),1,27:25,3,7,.429,1,2,.500,2,4,.500,1,0,1,1,0,1,2,2,9,3.8,+19
38,36,1999-04-14,21-183,BOS,,ATL,L (-7),1,37:32,6,12,.500,2,4,.500,2,2,1.000,2,6,8,4,1,1,2,5,16,13.7,-13
39,37,1999-04-16,21-185,BOS,,MIA,W (+1),1,36:03,6,19,.316,0,7,.000,1,2,.500,6,2,8,2,0,0,1,4,13,5.3,0
40,38,1999-04-18,21-187,BOS,@,WAS,W (+3),1,42:38,9,15,.600,2,2,1.000,6,6,1.000,1,6,7,3,5,1,3,1,26,26.0,+10
41,39,1999-04-19,21-188,BOS,,IND,L (-16),1,43:54,9,21,.429,5,8,.625,7,10,.700,4,8,12,6,0,1,2,3,30,24.6,-16
42,40,1999-04-21,21-190,BOS,,PHI,L (-2),1,40:52,7,18,.389,5,10,.500,1,2,.500,0,4,4,0,0,1,5,2,20,5.9,-3
43,41,1999-04-22,21-191,BOS,@,ATL,L (-12),1,42:40,8,17,.471,1,4,.250,6,8,.750,2,5,7,2,3,3,1,4,23,20.3,-10
44,42,1999-04-23,21-192,BOS,@,CHI,W (+29),1,29:07,6,11,.545,3,4,.750,3,6,.500,1,5,6,2,2,0,3,2,18,13.3,+27
45,43,1999-04-25,21-194,BOS,,WAS,W (+29),1,36:00,5,12,.417,0,3,.000,1,2,.500,0,7,7,3,3,1,4,2,11,7.3,+19
46,44,1999-04-27,21-196,BOS,,DET,L (-7),1,37:20,7,15,.467,5,10,.500,2,3,.667,1,4,5,2,3,0,3,3,21,15.0,-7
47,45,1999-04-29,21-198,BOS,@,MIA,W (+11),1,44:11,12,19,.632,3,6,.500,4,4,1.000,0,5,5,2,1,3,4,1,31,24.1,+6
48,46,1999-05-01,21-200,BOS,,MIL,L (-9),1,38:26,5,18,.278,2,6,.333,2,2,1.000,2,2,4,5,2,1,5,3,14,5.4,-6
49,47,1999-05-03,21-202,BOS,@,NYK,L (-7),1,39:20,6,15,.400,2,5,.400,4,6,.667,1,5,6,5,4,2,1,1,18,18.8,-10
50,48,1999-05-05,21-204,BOS,,CHH,L (-4),1,44:33,11,21,.524,2,7,.286,3,4,.750,5,4,9,5,2,2,1,3,27,25.7,-2
1,1,1999-11-02,22-020,BOS,@,TOR,W (+13),1,37:53,12,19,.632,3,4,.750,3,6,.500,1,7,8,5,2,0,2,3,30,25.4,+13
2,2,1999-11-03,22-021,BOS,,WAS,W (+11),1,27:29,5,13,.385,1,5,.200,0,0,,1,5,6,3,0,1,2,3,11,5.7,+9
3,3,1999-11-05,22-023,BOS,,CHH,W (+3),1,32:56,5,15,.333,1,3,.333,4,6,.667,3,6,9,1,4,0,2,2,15,11.5,+1
4,4,1999-11-06,22-024,BOS,@,IND,L (-7),1,26:18,8,11,.727,1,2,.500,2,3,.667,1,4,5,2,1,1,5,5,19,12.1,0
5,5,1999-11-10,22-028,BOS,,DET,L (-18),1,37:03,10,17,.588,1,3,.333,5,7,.714,0,3,3,4,2,1,2,2,26,20.9,-19
6,6,1999-11-12,22-030,BOS,,NYK,W (+6),1,45:00,6,20,.300,2,8,.250,5,7,.714,2,7,9,1,1,2,2,4,19,9.6,+8
