Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-02-05,21-241,SAC,@,SAS,L (-18),0,17:09,1,6,.167,0,3,.000,0,0,,1,0,1,0,1,0,2,0,2,-2.1,-17
2,2,1999-02-07,21-243,SAC,,VAN,W (+22),0,25:17,6,13,.462,3,6,.500,0,0,,1,3,4,2,0,0,1,1,15,9.9,+10
3,3,1999-02-09,21-245,SAC,@,PHO,W (+17),0,31:15,6,10,.600,1,4,.250,0,0,,0,5,5,1,3,1,3,3,13,10.1,+13
4,4,1999-02-10,21-246,SAC,@,HOU,L (-10),0,23:02,2,8,.250,1,5,.200,0,0,,0,2,2,3,1,0,1,1,5,2.5,-12
5,5,1999-02-15,21-251,SAC,@,UTA,L (-8),0,36:39,6,15,.400,2,6,.333,2,2,1.000,0,1,1,1,0,0,0,1,16,8.5,-10
6,6,1999-02-16,21-252,SAC,,BOS,W (+3),0,12:50,3,5,.600,1,3,.333,0,0,,1,2,3,0,0,0,2,0,7,4.0,-4
7,7,1999-02-17,21-253,SAC,@,SEA,W (+3),0,28:00,4,10,.400,2,5,.400,0,0,,0,4,4,3,0,0,1,0,10,6.9,+5
8,8,1999-02-19,21-255,SAC,,CHH,W (+11),0,24:16,3,10,.300,1,3,.333,0,0,,1,3,4,2,0,0,3,0,7,1.2,+12
9,9,1999-02-21,21-257,SAC,@,MIN,L (-12),0,12:25,1,5,.200,0,2,.000,0,0,,1,3,4,1,1,0,1,1,2,0.8,-5
10,,1999-02-22,21-258,SAC,@,ORL,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
