Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-10-30,21-228,NYK,,MIL,W (+7),0,15:05,2,2,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,2,5,5.0,0
2,2,2013-10-31,21-229,NYK,@,CHI,L (-1),0,26:50,4,13,.308,2,6,.333,0,0,,0,3,3,0,0,0,0,4,10,1.8,+7
3,3,2013-11-03,21-232,NYK,,MIN,L (-9),0,24:56,3,12,.250,0,7,.000,0,0,,1,0,1,1,0,0,1,3,6,-2.0,-7
4,4,2013-11-05,21-234,NYK,,CHA,L (-5),0,11:43,2,7,.286,0,4,.000,0,0,,1,0,1,1,0,0,0,1,4,0.9,-9
5,5,2013-11-08,21-237,NYK,@,CHA,W (+10),0,13:50,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,2,1,5,0.6,-1
6,6,2013-11-10,21-239,NYK,,SAS,L (-31),0,18:55,3,7,.429,1,4,.250,4,5,.800,1,1,2,1,0,0,1,1,11,7.2,-4
7,7,2013-11-13,21-242,NYK,@,ATL,W (+4),0,15:18,5,8,.625,2,4,.500,2,2,1.000,0,2,2,0,1,0,0,0,14,12.0,+3
8,8,2013-11-14,21-243,NYK,,HOU,L (-3),0,13:49,2,3,.667,1,1,1.000,3,3,1.000,0,1,1,0,1,0,0,1,8,7.6,-10
9,9,2013-11-16,21-245,NYK,,ATL,L (-20),0,21:45,3,7,.429,2,2,1.000,0,1,.000,1,0,1,3,1,0,1,0,8,6.7,-12
10,10,2013-11-19,21-248,NYK,@,DET,L (-6),0,10:52,0,3,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.8,-1
11,11,2013-11-20,21-249,NYK,,IND,L (-7),0,4:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1
12,12,2013-11-23,21-252,NYK,@,WAS,L (-9),0,6:30,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,5,4.3,+1
13,,2013-11-25,21-254,NYK,@,POR,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
14,13,2013-11-27,21-256,NYK,@,LAC,L (-13),0,8:01,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-11
