Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-02-05,22-010,TOR,@,BOS,W (+11),1,31:21,5,11,.455,0,1,.000,6,8,.750,1,2,3,2,2,1,1,3,16,12.7,+9
2,2,1999-02-06,22-011,TOR,@,WAS,L (-1),1,31:38,2,7,.286,0,0,,0,0,,1,4,5,2,1,0,2,4,4,0.6,+7
3,3,1999-02-09,22-014,TOR,,MIL,L (-14),1,35:56,9,13,.692,0,2,.000,4,6,.667,1,2,3,2,0,2,3,3,22,15.6,-17
4,4,1999-02-11,22-016,TOR,@,MIA,L (-18),1,32:53,2,5,.400,0,0,,3,6,.500,1,3,4,1,2,0,0,2,7,6.6,-6
5,5,1999-02-16,22-021,TOR,@,NYK,L (-10),1,40:31,6,12,.500,0,1,.000,5,6,.833,1,2,3,2,2,4,1,5,17,15.1,-7
6,6,1999-02-18,22-023,TOR,,WAS,L (-7),1,36:49,6,14,.429,0,1,.000,3,6,.500,2,4,6,2,1,0,4,2,15,6.6,-2
7,7,1999-02-19,22-024,TOR,,MIL,W (+8),1,27:08,4,10,.400,0,0,,5,6,.833,5,3,8,3,0,1,5,0,13,9.4,+5
8,8,1999-02-21,22-026,TOR,,VAN,W (+15),1,41:41,11,16,.688,3,4,.750,2,2,1.000,4,2,6,5,4,2,1,3,27,30.3,+22
9,9,1999-02-23,22-028,TOR,@,DET,L (-26),1,28:44,3,11,.273,0,3,.000,1,2,.500,2,2,4,0,0,1,0,0,7,2.8,-12
10,10,1999-02-24,22-029,TOR,@,IND,L (-20),1,41:32,10,22,.455,0,1,.000,8,8,1.000,3,7,10,2,2,3,2,0,28,24.3,-11
11,11,1999-02-26,22-031,TOR,,MIN,W (+10),1,35:03,7,14,.500,2,2,1.000,5,7,.714,1,5,6,2,1,5,4,2,21,16.5,+23
12,12,1999-02-28,22-033,TOR,,CHI,L (-2),1,36:18,4,11,.364,0,0,,0,0,,3,5,8,1,0,3,1,5,8,5.3,+5
13,13,1999-03-01,22-034,TOR,@,CHH,L (-3),1,41:23,6,14,.429,0,2,.000,3,4,.750,3,6,9,2,1,0,1,1,15,12.1,0
14,14,1999-03-04,22-037,TOR,@,ATL,W (+9),1,34:32,6,15,.400,0,1,.000,2,2,1.000,2,2,4,2,2,1,0,2,14,11.2,+14
15,15,1999-03-05,22-038,TOR,,ORL,L (-5),1,40:16,9,20,.450,1,3,.333,0,0,,2,2,4,2,0,1,4,6,19,6.3,-3
16,16,1999-03-07,22-040,TOR,,BOS,W (+13),1,36:08,9,18,.500,0,1,.000,8,9,.889,3,0,3,3,1,2,0,1,26,22.8,+11
17,17,1999-03-11,22-044,TOR,@,MIA,L (-10),1,35:46,7,16,.438,0,3,.000,2,2,1.000,1,3,4,1,2,0,1,3,16,9.7,-10
18,18,1999-03-13,22-046,TOR,@,ATL,L (-11),1,34:05,6,16,.375,0,2,.000,2,4,.500,4,5,9,0,0,1,0,4,14,7.8,-7
19,19,1999-03-15,22-048,TOR,,CHH,W (+7),1,17:32,1,5,.200,0,1,.000,1,2,.500,0,3,3,1,0,1,3,4,3,-2.8,-7
20,20,1999-03-16,22-049,TOR,,NJN,W (+15),1,40:15,8,18,.444,0,0,,4,4,1.000,4,11,15,2,0,2,5,2,20,13.7,+12
21,21,1999-03-17,22-050,TOR,@,DET,W (+2),1,39:49,9,13,.692,0,1,.000,10,11,.909,1,2,3,1,1,0,6,2,28,18.3,+8
22,22,1999-03-19,22-052,TOR,,LAC,W (+11),1,29:49,10,11,.909,1,1,1.000,5,7,.714,1,1,2,3,1,1,3,5,26,21.3,+6
23,23,1999-03-21,22-054,TOR,,NYK,W (+4),1,41:57,7,24,.292,0,2,.000,9,12,.750,5,7,12,2,2,4,3,1,23,16.2,+4
24,24,1999-03-22,22-055,TOR,@,NJN,L (-19),1,31:53,4,16,.250,1,1,1.000,1,3,.333,2,4,6,3,1,0,1,3,10,3.1,-9
25,25,1999-03-23,22-056,TOR,@,CHI,W (+23),1,35:02,9,19,.474,1,1,1.000,4,4,1.000,4,7,11,4,1,2,0,1,23,23.0,+38
26,26,1999-03-25,22-058,TOR,@,HOU,L (-9),1,42:13,13,20,.650,2,2,1.000,4,4,1.000,1,1,2,6,1,1,4,1,32,25.7,-7
27,27,1999-03-26,22-059,TOR,@,SAS,W (+2),1,36:41,6,19,.316,0,2,.000,2,2,1.000,1,4,5,3,1,1,2,2,14,6.0,+11
28,28,1999-03-28,22-061,TOR,,CHI,W (+13),1,37:51,10,19,.526,0,0,,2,4,.500,1,4,5,3,1,6,1,4,22,18.5,+9
29,29,1999-03-30,22-063,TOR,@,CLE,W (+10),1,25:05,2,6,.333,0,1,.000,3,6,.500,2,3,5,6,0,0,2,5,7,4.9,+8
30,30,1999-04-01,22-065,TOR,,IND,W (+1),1,41:34,13,22,.591,0,1,.000,5,5,1.000,4,7,11,6,2,2,1,3,31,31.1,0
31,31,1999-04-03,22-067,TOR,,WAS,W (+2),1,37:36,8,17,.471,0,0,,2,4,.500,0,1,1,4,1,1,2,1,18,10.9,+7
32,32,1999-04-04,22-068,TOR,,PHI,W (+15),1,30:20,7,11,.636,0,0,,6,6,1.000,1,2,3,2,2,3,1,5,20,18.9,+10
33,33,1999-04-06,22-070,TOR,,MIA,L (-22),1,29:46,3,12,.250,0,0,,4,8,.500,2,7,9,2,3,2,2,3,10,7.3,-18
34,34,1999-04-08,22-072,TOR,,BOS,L (-12),1,40:10,12,22,.545,1,2,.500,6,8,.750,0,4,4,4,2,3,2,3,31,24.5,+1
35,35,1999-04-09,22-073,TOR,@,NJN,L (-7),1,41:47,10,19,.526,0,0,,6,7,.857,3,4,7,2,1,2,1,2,26,21.6,+7
36,36,1999-04-12,22-076,TOR,,IND,L (-10),1,41:17,11,25,.440,0,1,.000,7,9,.778,2,3,5,7,1,5,2,4,29,23.2,-9
