Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2005-11-01,20-179,NOK,,SAC,W (+26),1,33:32,3,7,.429,1,3,.333,6,6,1.000,0,8,8,4,2,1,4,0,13,13.2,+23
2,2,2005-11-02,20-180,NOK,@,CLE,L (-22),1,29:20,5,11,.455,1,4,.250,2,2,1.000,1,4,5,3,2,0,4,1,13,8.9,-19
3,3,2005-11-05,20-183,NOK,@,HOU,W (+7),1,33:04,6,14,.429,1,5,.200,2,3,.667,1,3,4,8,2,0,1,4,15,13.8,+4
4,4,2005-11-09,20-187,NOK,,ORL,L (-5),1,35:29,4,13,.308,0,1,.000,2,2,1.000,1,3,4,4,3,0,0,4,10,8.3,-6
5,5,2005-11-12,20-190,NOK,,DAL,L (-6),1,36:14,10,14,.714,2,6,.333,4,5,.800,1,2,3,5,1,0,5,4,26,19.0,-11
6,6,2005-11-15,20-193,NOK,@,MIA,L (-7),1,43:45,5,13,.385,0,2,.000,6,7,.857,1,1,2,10,1,0,2,4,16,13.9,-2
7,7,2005-11-16,20-194,NOK,,DEN,L (-10),1,37:30,5,15,.333,0,4,.000,8,9,.889,3,6,9,3,1,0,4,3,18,10.9,-6
8,8,2005-11-18,20-196,NOK,,ATL,W (+3),1,42:12,9,19,.474,1,2,.500,6,8,.750,2,5,7,12,5,0,2,4,25,27.2,+13
9,9,2005-11-19,20-197,NOK,@,ORL,W (+3),1,43:12,7,12,.583,1,1,1.000,6,6,1.000,0,5,5,8,2,0,3,5,21,19.5,-1
10,10,2005-11-21,20-199,NOK,@,PHI,L (-12),1,30:08,3,9,.333,0,1,.000,3,4,.750,2,3,5,6,3,0,1,2,9,11.2,-6
11,11,2005-11-23,20-201,NOK,,MIN,W (+4),1,39:41,7,19,.368,1,6,.167,6,8,.750,0,9,9,8,1,0,1,3,21,16.8,+10
12,12,2005-11-26,20-204,NOK,@,SEA,W (+6),1,40:19,4,12,.333,0,2,.000,9,12,.750,2,5,7,10,2,0,2,5,17,16.9,-3
13,13,2005-11-28,20-206,NOK,@,GSW,L (-16),1,30:09,5,12,.417,2,4,.500,3,4,.750,0,1,1,5,1,0,4,2,15,8.2,-11
14,14,2005-11-30,20-208,NOK,@,DEN,W (+7),1,39:18,3,10,.300,1,1,1.000,3,4,.750,1,7,8,9,2,0,3,3,10,10.7,+7
15,15,2005-12-02,20-210,NOK,,PHI,W (+2),1,37:44,6,11,.545,1,2,.500,3,4,.750,3,4,7,9,2,0,3,2,16,18.1,+2
16,16,2005-12-03,20-211,NOK,@,DAL,L (-9),1,38:49,9,16,.563,0,2,.000,7,8,.875,0,6,6,5,3,0,0,4,25,23.7,-16
17,17,2005-12-06,20-214,NOK,@,MEM,L (-16),1,30:37,1,8,.125,0,2,.000,0,0,,0,5,5,4,1,0,4,2,2,-2.7,-13
18,18,2005-12-07,20-215,NOK,,BOS,L (-14),1,34:13,4,11,.364,0,1,.000,8,12,.667,1,9,10,6,3,0,1,1,16,17.5,-14
19,19,2005-12-09,20-217,NOK,@,POR,L (-3),1,47:09,8,12,.667,0,0,,5,7,.714,0,7,7,10,2,0,6,4,21,18.5,-7
