Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-02-07,20-270,VAN,@,SAC,L (-22),1,36:14,3,14,.214,0,0,,5,7,.714,0,1,1,9,2,0,2,1,11,7.8,-21
2,2,1999-02-08,20-271,VAN,,POR,L (-19),1,40:59,1,12,.083,1,4,.250,0,0,,0,2,2,7,3,0,2,1,3,1.1,-12
3,3,1999-02-10,20-273,VAN,,LAC,W (+6),1,40:30,6,13,.462,0,1,.000,6,7,.857,0,4,4,12,2,0,6,2,18,15.7,+7
4,4,1999-02-11,20-274,VAN,,IND,L (-4),1,34:33,6,8,.750,0,0,,0,0,,3,2,5,5,0,0,2,2,12,12.2,-7
5,5,1999-02-14,20-277,VAN,,DAL,W (+4),1,34:14,4,11,.364,0,1,.000,2,2,1.000,2,3,5,10,2,0,2,0,10,13.2,+8
6,6,1999-02-16,20-279,VAN,@,LAC,W (+4),1,42:06,7,14,.500,0,2,.000,3,4,.750,2,1,3,5,4,0,2,4,17,15.2,+9
7,7,1999-02-17,20-280,VAN,,BOS,L (-2),1,53:58,6,14,.429,0,0,,11,12,.917,0,2,2,11,1,0,6,3,23,17.3,-2
8,8,1999-02-19,20-282,VAN,@,MIN,L (-19),1,29:14,2,8,.250,0,0,,0,0,,1,2,3,6,2,0,2,3,4,3.5,-15
9,9,1999-02-21,20-284,VAN,@,TOR,L (-15),1,37:06,4,10,.400,1,3,.333,2,4,.500,0,1,1,4,1,0,3,4,11,4.3,-19
10,10,1999-02-23,20-286,VAN,,LAL,W (+10),1,40:37,5,11,.455,1,3,.333,2,2,1.000,2,3,5,8,0,0,4,0,13,11.2,+9
11,11,1999-02-25,20-288,VAN,,PHO,L (-8),1,37:55,5,13,.385,2,6,.333,4,4,1.000,0,0,0,10,2,0,5,3,16,11.7,-5
12,12,1999-02-27,20-290,VAN,,HOU,L (-12),1,34:31,5,9,.556,0,0,,4,4,1.000,0,2,2,2,0,0,2,2,14,8.9,-17
13,13,1999-02-28,20-291,VAN,@,DEN,L (-4),1,34:22,6,9,.667,0,1,.000,3,3,1.000,0,3,3,10,1,0,1,2,15,18.2,+4
14,14,1999-03-02,20-293,VAN,,SAC,L (-10),1,32:41,9,11,.818,0,0,,1,1,1.000,2,3,5,6,0,0,5,1,19,16.0,-9
15,15,1999-03-03,20-294,VAN,@,UTA,L (-23),1,24:01,6,10,.600,0,1,.000,0,0,,1,0,1,6,0,0,2,2,12,9.5,-18
16,16,1999-03-04,20-295,VAN,,MIN,L (-9),1,29:37,1,8,.125,0,1,.000,0,2,.000,2,0,2,12,1,0,2,2,2,4.0,-10
17,17,1999-03-06,20-297,VAN,,HOU,L (-15),1,34:06,7,15,.467,1,1,1.000,1,2,.500,1,1,2,4,3,0,3,0,16,11.7,-9
18,18,1999-03-08,20-299,VAN,,POR,L (-19),1,30:24,4,10,.400,0,1,.000,3,3,1.000,1,3,4,5,0,0,3,2,11,6.9,-8
19,19,1999-03-09,20-300,VAN,@,GSW,L (-10),1,31:30,2,9,.222,1,2,.500,1,2,.500,0,3,3,5,2,0,4,4,6,0.9,-9
20,20,1999-03-11,20-302,VAN,@,HOU,L (-11),1,38:01,11,20,.550,0,1,.000,4,5,.800,0,3,3,7,2,0,2,2,26,21.0,-19
21,21,1999-03-13,20-304,VAN,@,DAL,L (-17),1,33:12,4,14,.286,0,3,.000,3,4,.750,1,2,3,3,1,1,4,3,11,2.3,-19
22,22,1999-03-15,20-306,VAN,@,DEN,L (-26),1,26:29,5,10,.500,0,0,,2,2,1.000,0,3,3,5,1,0,4,1,12,8.0,-27
23,23,1999-03-16,20-307,VAN,@,SEA,L (-2),1,36:41,4,12,.333,1,2,.500,6,8,.750,2,0,2,3,1,0,1,3,15,9.7,-6
