Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1987-11-06,22-074,IND,@,PHI,L (-13),0,26:00,4,6,.667,1,2,.500,1,1,1.000,1,0,1,2,3,1,4,1,10,8.8
2,2,1987-11-07,22-075,IND,,NYK,W (+13),0,31:00,4,7,.571,0,2,.000,3,3,1.000,1,3,4,5,3,0,4,1,11,11.4
3,3,1987-11-10,22-078,IND,,DET,W (+3),0,27:00,5,11,.455,0,1,.000,1,2,.500,3,0,3,2,0,0,1,1,11,7.0
4,4,1987-11-11,22-079,IND,@,BOS,L (-14),0,32:00,9,13,.692,2,4,.500,4,7,.571,2,0,2,2,2,1,1,5,24,19.8
5,5,1987-11-14,22-082,IND,@,CHI,W (+1),0,22:00,9,12,.750,1,2,.500,1,2,.500,2,0,2,1,0,0,2,2,20,14.1
6,6,1987-11-15,22-083,IND,,BOS,L (-5),0,34:00,6,10,.600,2,2,1.000,9,12,.750,3,0,3,2,1,0,3,4,23,17.1
7,7,1987-11-17,22-085,IND,@,SAC,W (+15),0,25:00,9,13,.692,3,5,.600,1,2,.500,2,0,2,0,1,0,2,3,22,15.3
8,8,1987-11-18,22-086,IND,@,DEN,W (+11),0,34:00,5,10,.500,1,2,.500,4,7,.571,2,0,2,3,1,0,2,1,15,10.9
9,9,1987-11-20,22-088,IND,@,UTA,L (-31),0,30:00,7,16,.438,1,3,.333,3,3,1.000,0,1,1,1,2,0,4,5,18,6.6
10,10,1987-11-22,22-090,IND,@,POR,L (-10),0,34:00,4,11,.364,3,5,.600,0,0,,1,1,2,2,1,0,3,5,11,3.3
11,11,1987-11-25,22-093,IND,,SAS,W (+31),0,22:00,6,10,.600,1,2,.500,0,0,,0,1,1,3,0,0,1,0,13,9.8
12,12,1987-11-27,22-095,IND,,ATL,W (+2),0,19:00,2,5,.400,0,0,,0,0,,0,0,0,1,1,0,1,3,4,0.8
13,13,1987-11-28,22-096,IND,,SEA,W (+16),0,27:00,5,10,.500,1,4,.250,0,0,,3,1,4,1,2,2,2,0,11,10.5
14,14,1987-11-30,22-098,IND,@,MIL,L (-10),0,30:00,4,9,.444,1,4,.250,1,1,1.000,0,1,1,3,0,1,1,3,10,6.2
15,15,1987-12-02,22-100,IND,,WSB,W (+6),0,32:00,3,10,.300,1,4,.250,3,3,1.000,2,4,6,3,1,0,1,3,10,7.7
