Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1989-11-03,23-063,GSW,@,PHO,L (-30),1,23:00,0,7,.000,0,0,,0,0,,0,1,1,3,0,1,1,5,0,-4.8
2,2,1989-11-04,23-064,GSW,,HOU,L (-27),1,17:00,3,8,.375,0,1,.000,0,0,,1,2,3,2,1,0,5,2,6,-0.5
3,3,1989-11-14,23-074,GSW,@,MIN,L (-3),0,7:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-1.1
4,4,1989-11-15,23-075,GSW,@,CLE,L (-25),1,25:00,6,10,.600,0,0,,0,0,,1,4,5,4,0,0,1,0,12,11.1
5,5,1989-11-17,23-077,GSW,@,CHH,L (-1),1,26:00,1,5,.200,0,0,,0,2,.000,0,4,4,6,1,0,3,2,2,0.7
6,6,1989-11-18,23-078,GSW,@,ATL,L (-16),1,30:00,7,13,.538,0,2,.000,0,0,,1,2,3,9,3,0,3,2,14,14.5
7,7,1989-11-22,23-082,GSW,,SAC,W (+24),1,30:00,5,10,.500,0,0,,0,0,,0,1,1,12,0,0,0,0,10,13.7
8,8,1989-11-25,23-085,GSW,,CHI,L (-13),1,27:00,5,8,.625,0,0,,0,0,,1,6,7,8,4,0,4,1,10,14.1
9,9,1989-11-28,23-088,GSW,@,DEN,L (-21),1,33:00,6,11,.545,1,1,1.000,4,4,1.000,0,5,5,10,1,0,6,6,17,12.8
10,10,1989-11-29,23-089,GSW,,NYK,L (-18),1,37:00,9,14,.643,0,0,,1,2,.500,0,5,5,12,3,0,4,6,19,18.9
11,11,1989-12-01,23-091,GSW,@,POR,L (-13),1,37:00,5,12,.417,1,2,.500,6,8,.750,0,1,1,12,2,0,2,4,17,16.9
12,12,1989-12-02,23-092,GSW,,MIL,W (+3),1,41:00,7,11,.636,1,2,.500,0,3,.000,0,3,3,7,5,0,9,3,15,9.5
13,13,1989-12-05,23-095,GSW,@,DAL,L (-19),1,29:00,2,14,.143,0,1,.000,2,2,1.000,1,2,3,2,1,0,1,3,6,-1.5
14,14,1989-12-06,23-096,GSW,@,SAS,L (-2),1,39:00,6,13,.462,0,0,,0,0,,1,2,3,10,5,0,8,2,12,9.8
15,15,1989-12-08,23-098,GSW,,SAC,L (-5),1,39:00,6,10,.600,0,1,.000,5,11,.455,0,4,4,14,1,0,1,2,17,20.2
16,16,1989-12-12,23-102,GSW,@,SAC,W (+15),1,37:00,7,13,.538,0,1,.000,4,4,1.000,1,4,5,10,3,1,6,3,18,17.1
17,17,1989-12-13,23-103,GSW,,DEN,W (+20),1,24:00,5,10,.500,0,0,,5,5,1.000,0,3,3,11,1,0,2,3,15,16.4
18,18,1989-12-15,23-105,GSW,@,POR,W (+5),1,30:00,4,13,.308,0,1,.000,1,2,.500,0,3,3,7,0,0,3,3,9,2.7
19,19,1989-12-16,23-106,GSW,,DET,W (+12),1,33:00,6,13,.462,0,0,,0,0,,0,3,3,5,2,0,0,3,12,10.5
20,20,1989-12-20,23-110,GSW,,HOU,W (+6),1,36:00,7,13,.538,0,2,.000,6,6,1.000,1,4,5,14,4,0,4,3,20,24.2
21,21,1989-12-22,23-112,GSW,,IND,W (+26),1,29:00,4,12,.333,0,0,,2,2,1.000,3,0,3,8,5,0,2,1,10,13.5
22,22,1989-12-26,23-116,GSW,@,UTA,L (-15),1,25:00,4,10,.400,0,1,.000,0,0,,0,3,3,4,1,1,0,3,8,6.8
23,23,1989-12-28,23-118,GSW,@,LAC,L (-20),1,20:00,2,5,.400,0,0,,2,4,.500,0,2,2,1,0,0,1,3,6,1.6
24,24,1989-12-29,23-119,GSW,@,LAL,L (-19),1,36:00,5,9,.556,0,0,,0,2,.000,0,3,3,7,1,0,3,2,10,7.9
25,25,1990-01-02,23-123,GSW,,UTA,W (+13),1,36:00,3,12,.250,0,1,.000,5,5,1.000,0,5,5,9,3,0,5,2,11,8.8
26,26,1990-01-04,23-125,GSW,,MIA,W (+2),1,34:00,4,8,.500,0,0,,3,4,.750,1,7,8,8,2,1,3,3,11,13.5
