Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2004-11-03,19-126,NYK,@,MIN,L (-6),0,22:59,4,7,.571,0,0,,0,0,,1,4,5,3,2,0,3,3,8,6.5,-3
2,2,2004-11-06,19-129,NYK,,BOS,L (-34),0,20:00,3,7,.429,0,0,,1,2,.500,1,2,3,2,1,0,1,5,7,3.6,-5
3,3,2004-11-09,19-132,NYK,,PHI,W (+8),0,21:05,5,9,.556,0,0,,4,6,.667,2,6,8,3,2,0,0,2,14,15.4,+5
4,4,2004-11-12,19-135,NYK,,LAC,W (+14),0,23:45,4,9,.444,0,0,,0,0,,3,0,3,2,3,0,1,3,8,7.6,0
5,5,2004-11-13,19-136,NYK,@,IND,L (-6),0,19:54,2,6,.333,0,0,,2,2,1.000,1,3,4,1,0,0,1,3,6,2.7,+2
6,6,2004-11-16,19-139,NYK,@,SAS,L (-18),0,5:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
7,7,2004-11-18,19-141,NYK,@,HOU,W (+1),0,19:57,2,7,.286,0,0,,4,5,.800,2,2,4,2,1,0,0,3,8,6.7,+3
8,8,2004-11-19,19-142,NYK,@,DAL,L (-2),0,8:37,0,4,.000,0,0,,2,2,1.000,0,0,0,1,1,0,0,0,2,0.9,-7
9,9,2004-11-21,19-144,NYK,,CLE,W (+10),0,7:09,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,1,1,2,1.3,+8
10,10,2004-11-23,19-146,NYK,,ATL,W (+16),0,9:25,1,3,.333,0,0,,2,4,.500,2,0,2,0,0,0,2,0,4,0.9,-5
11,11,2004-11-24,19-147,NYK,@,TOR,L (-23),0,22:37,2,9,.222,0,0,,3,4,.750,2,0,2,2,1,0,1,2,7,3.1,-11
12,12,2004-11-27,19-150,NYK,,TOR,W (+6),0,4:26,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.9,+3
13,13,2004-11-30,19-153,NYK,@,ATL,W (+1),0,2:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
14,14,2004-12-01,19-154,NYK,,MEM,W (+8),0,26:06,2,6,.333,0,0,,4,5,.800,1,3,4,5,3,0,0,2,8,11.5,+14
15,15,2004-12-03,19-156,NYK,,ORL,L (-6),0,12:03,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,2,1,0,-2.1,+1
16,16,2004-12-04,19-157,NYK,@,CHA,L (-6),0,20:14,0,1,.000,0,0,,1,2,.500,1,3,4,1,0,0,1,2,1,0.4,-5
17,17,2004-12-07,19-160,NYK,@,MEM,L (-8),0,20:41,3,9,.333,0,0,,2,5,.400,4,3,7,1,0,0,2,0,8,4.1,-4
